match_key,tour,tournament,year,player,milestone,sim_prob,actual_reached,logged_at
ATP|US Open|2021,ATP,US Open,2021,De Minaur A.,champion,0.001,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Hurkacz H.,semifinal,0.069,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Hurkacz H.,final,0.036,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Hurkacz H.,champion,0.012,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Gerasimov E.,semifinal,0.005,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Gerasimov E.,final,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Gerasimov E.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Seppi A.,semifinal,0.004,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Seppi A.,final,0.001,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Seppi A.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Fucsovics M.,semifinal,0.028,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Fucsovics M.,final,0.014,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Fucsovics M.,champion,0.005,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Kudla D.,semifinal,0.002,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Kudla D.,final,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Kudla D.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Djere L.,semifinal,0.004,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Djere L.,final,0.001,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Djere L.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Otte O.,semifinal,0.003,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Otte O.,final,0.001,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Otte O.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Sonego L.,semifinal,0.024,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Sonego L.,final,0.006,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Sonego L.,champion,0.003,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Fognini F.,semifinal,0.012,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Fognini F.,final,0.002,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Fognini F.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Pospisil V.,semifinal,0.008,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Pospisil V.,final,0.003,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Pospisil V.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Sandgren T.,semifinal,0.001,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Sandgren T.,final,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Sandgren T.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Ivashka I.,semifinal,0.042,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Ivashka I.,final,0.016,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Ivashka I.,champion,0.004,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Moutet C.,semifinal,0.005,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Moutet C.,final,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Moutet C.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Travaglia S.,semifinal,0.001,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Travaglia S.,final,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Travaglia S.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Chardy J.,semifinal,0.012,0,2026-08-28T18:37:08.315107+00:00
