match_key,source,tour,tournament,year,round_label,round_num,date,player_a,player_b,favorite,favorite_prob,winner,favorite_won,logged_at,market_prob_a,status_detail,ended_by_retirement
ATP|Cincinnati Open|2026|R1|Andaluce M.::Draper J.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-13 15:10:00+00:00,Andaluce M.,Draper J.,Draper J.,0.8349,Andaluce M.,False,2026-08-20 17:59:11.238222+00:00,,STATUS_FINAL,False
ATP|Cincinnati Open|2026|R1|Baez S.::Dimitrov G.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 16:35:00+00:00,Baez S.,Dimitrov G.,Dimitrov G.,0.7279,Baez S.,False,2026-08-19 17:00:40.585296+00:00,,,
ATP|Cincinnati Open|2026|R1|Borges N.::Kokkinakis T.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 19:05:00+00:00,Borges N.,Kokkinakis T.,Kokkinakis T.,0.5666,Borges N.,False,2026-08-19 17:00:40.593296+00:00,,,
ATP|Cincinnati Open|2026|R1|Burruchaga R.::Struff J.L.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-13 19:30:00+00:00,Burruchaga R.,Struff J.L.,Burruchaga R.,0.5946,Struff J.L.,False,2026-08-19 17:00:40.574296+00:00,,,
ATP|Cincinnati Open|2026|R1|Berrettini M.::Droguet T.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 16:45:00+00:00,Droguet T.,Berrettini M.,Berrettini M.,0.6091,Berrettini M.,True,2026-08-19 17:00:40.587295+00:00,,,
ATP|Cincinnati Open|2026|R1|Brooksby J.::Faria J.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 23:15:00+00:00,Faria J.,Brooksby J.,Brooksby J.,0.567,Faria J.,False,2026-08-19 17:00:40.599295+00:00,,,
ATP|Cincinnati Open|2026|R1|Atmane T.::Fucsovics M.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-13 22:55:00+00:00,Fucsovics M.,Atmane T.,Atmane T.,0.5547,Atmane T.,True,2026-08-19 17:00:40.579295+00:00,,,
ATP|Cincinnati Open|2026|R1|Hanfmann Y.::Van Assche L.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 16:40:00+00:00,Hanfmann Y.,Van Assche L.,Hanfmann Y.,0.6202,Hanfmann Y.,True,2026-08-19 17:00:40.586296+00:00,,,
ATP|Cincinnati Open|2026|R1|Hanfmann Y.::Vanassche L.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 16:40:00+00:00,Hanfmann Y.,Vanassche L.,Hanfmann Y.,0.6076,Hanfmann Y.,True,2026-08-20 17:59:11.245221+00:00,,STATUS_FINAL,False
ATP|Cincinnati Open|2026|R1|Hijikata R.::Monfils G.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-13 23:10:00+00:00,Hijikata R.,Monfils G.,Monfils G.,0.6173,Hijikata R.,False,2026-08-19 17:00:40.579295+00:00,,,
ATP|Cincinnati Open|2026|R1|Jacquet K.::Vallejo D.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 15:05:00+00:00,Jacquet K.,Vallejo D.,Vallejo D.,0.5878,Vallejo D.,True,2026-08-19 17:00:40.581295+00:00,,,
ATP|Cincinnati Open|2026|R1|Halys Q.::Kopriva V.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 15:15:00+00:00,Kopriva V.,Halys Q.,Halys Q.,0.5228,Halys Q.,True,2026-08-19 17:00:40.585296+00:00,,,
ATP|Cincinnati Open|2026|R1|Khachanov K.::Kovacevic A.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-15 01:20:00+00:00,Kovacevic A.,Khachanov K.,Khachanov K.,0.6476,Kovacevic A.,False,2026-08-19 17:00:40.600295+00:00,,,
ATP|Cincinnati Open|2026|R1|Cerundolo J.M.::Lajal M.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 18:45:00+00:00,Lajal M.,Cerundolo J.M.,Cerundolo J.M.,0.6637,Cerundolo J.M.,True,2026-08-19 17:00:40.592295+00:00,,,
ATP|Cincinnati Open|2026|R1|Draper J.::Landaluce M.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-13 15:10:00+00:00,Landaluce M.,Draper J.,Draper J.,0.8079,Landaluce M.,False,2026-08-19 17:00:40.572295+00:00,,,
ATP|Cincinnati Open|2026|R1|Carreno Busta P.::Machac T.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 17:20:00+00:00,Machac T.,Carreno Busta P.,Machac T.,0.6942,Carreno Busta P.,False,2026-08-19 17:00:40.588296+00:00,,,
ATP|Cincinnati Open|2026|R1|Carrenobusta P.::Machac T.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 17:20:00+00:00,Machac T.,Carrenobusta P.,Machac T.,0.7423,Carrenobusta P.,False,2026-08-20 17:59:11.246222+00:00,,STATUS_FINAL,False
ATP|Cincinnati Open|2026|R1|Marozsan F.::Zheng M.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 20:50:00+00:00,Marozsan F.,Zheng M.,Marozsan F.,0.5659,Zheng M.,False,2026-08-19 17:00:40.597296+00:00,,,
ATP|Cincinnati Open|2026|R1|Medjedovic H.::Trungelliti M.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 20:50:00+00:00,Medjedovic H.,Trungelliti M.,Medjedovic H.,0.5537,Trungelliti M.,False,2026-08-19 17:00:40.596295+00:00,,,
ATP|Cincinnati Open|2026|R1|Cilic M.::Merida Aguilar D.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 22:20:00+00:00,Merida Aguilar D.,Cilic M.,Cilic M.,0.5052,Merida Aguilar D.,False,2026-08-19 17:00:40.598295+00:00,,,
ATP|Cincinnati Open|2026|R1|De Jong J.::Michelsen A.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 18:40:00+00:00,Michelsen A.,De Jong J.,Michelsen A.,0.7235,Michelsen A.,True,2026-08-19 17:00:40.591295+00:00,,,
ATP|Cincinnati Open|2026|R1|Collignon R.::Navone M.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-13 20:55:00+00:00,Navone M.,Collignon R.,Collignon R.,0.7062,Navone M.,False,2026-08-19 17:00:40.578296+00:00,,,
ATP|Cincinnati Open|2026|R1|Norrie C.::Prizmic D.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-13 17:40:00+00:00,Norrie C.,Prizmic D.,Norrie C.,0.6551,Norrie C.,True,2026-08-19 17:00:40.573295+00:00,,,
ATP|Cincinnati Open|2026|R1|Majchrzak K.::O Connell C.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 18:35:00+00:00,O Connell C.,Majchrzak K.,Majchrzak K.,0.6837,O Connell C.,False,2026-08-19 17:00:40.589295+00:00,,,
ATP|Cincinnati Open|2026|R1|Royer V.::Tsitsipas S.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 15:15:00+00:00,Royer V.,Tsitsipas S.,Tsitsipas S.,0.7279,Tsitsipas S.,True,2026-08-19 17:00:40.583296+00:00,,,
ATP|Cincinnati Open|2026|R1|Shang J.::Sonego L.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 20:30:00+00:00,Shang J.,Sonego L.,Sonego L.,0.6337,Sonego L.,True,2026-08-19 17:00:40.596295+00:00,,,
ATP|Cincinnati Open|2026|R1|Mannarino A.::Shapovalov D.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-13 20:00:00+00:00,Shapovalov D.,Mannarino A.,Shapovalov D.,0.6795,Shapovalov D.,True,2026-08-19 17:00:40.576295+00:00,,,
ATP|Cincinnati Open|2026|R1|Hurkacz H.::Shimabukuro S.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 15:15:00+00:00,Shimabukuro S.,Hurkacz H.,Hurkacz H.,0.6384,Hurkacz H.,True,2026-08-19 17:00:40.584295+00:00,,,
ATP|Cincinnati Open|2026|R1|Bellucci M.::Svajda Z.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 02:40:00+00:00,Svajda Z.,Bellucci M.,Bellucci M.,0.5121,Bellucci M.,True,2026-08-19 17:00:40.580295+00:00,,,
ATP|Cincinnati Open|2026|R1|Choinski J.::Tirante T.A.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-13 19:35:00+00:00,Tirante T.A.,Choinski J.,Tirante T.A.,0.6363,Tirante T.A.,True,2026-08-19 17:00:40.575295+00:00,,,
ATP|Cincinnati Open|2026|R1|Kecmanovic M.::Ugo Carabelli C.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-13 20:25:00+00:00,Ugo Carabelli C.,Kecmanovic M.,Kecmanovic M.,0.5618,Kecmanovic M.,True,2026-08-19 17:00:40.577295+00:00,,,
ATP|Cincinnati Open|2026|R1|Kecmanovic M.::Ugocarabelli C.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-13 20:25:00+00:00,Ugocarabelli C.,Kecmanovic M.,Kecmanovic M.,0.5331,Kecmanovic M.,True,2026-08-20 17:59:11.241221+00:00,,STATUS_FINAL,False
ATP|Cincinnati Open|2026|R1|Shevchenko A.::Van De Zandschulp B.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 18:40:00+00:00,Van De Zandschulp B.,Shevchenko A.,Van De Zandschulp B.,0.5389,Van De Zandschulp B.,True,2026-08-19 17:00:40.590295+00:00,,,
ATP|Cincinnati Open|2026|R1|Shevchenko A.::Vandezandschulp B.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 18:40:00+00:00,Vandezandschulp B.,Shevchenko A.,Shevchenko A.,0.5422,Vandezandschulp B.,False,2026-08-20 17:59:11.248220+00:00,,STATUS_FINAL,False
ATP|Cincinnati Open|2026|R1|Mejia N.::Walton A.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 20:30:00+00:00,Walton A.,Mejia N.,Walton A.,0.5778,Walton A.,True,2026-08-19 17:00:40.594295+00:00,,,
ATP|Cincinnati Open|2026|R1|Duckworth J.::Wolf J.J.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 18:20:00+00:00,Wolf J.J.,Duckworth J.,Duckworth J.,0.5888,Duckworth J.,True,2026-08-19 17:00:40.589295+00:00,,,
ATP|Cincinnati Open|2026|R1|Altmaier D.::Wong C.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 15:05:00+00:00,Wong C.,Altmaier D.,Wong C.,0.5972,Altmaier D.,False,2026-08-19 17:00:40.582296+00:00,,,
ATP|Cincinnati Open|2026|R2|Altmaier D.::Musetti L.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-16 17:35:00+00:00,Altmaier D.,Musetti L.,Musetti L.,0.7726,Musetti L.,True,2026-08-19 17:00:40.620141+00:00,,,
ATP|Cincinnati Open|2026|R2|Andaluce M.::Arnaldi M.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-15 15:05:00+00:00,Andaluce M.,Arnaldi M.,Arnaldi M.,0.5095,Andaluce M.,False,2026-08-20 17:59:11.252220+00:00,,STATUS_FINAL,False
ATP|Cincinnati Open|2026|R2|Atmane T.::Etcheverry T.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-15 21:00:00+00:00,Atmane T.,Etcheverry T.,Etcheverry T.,0.5458,Atmane T.,False,2026-08-19 17:00:40.608295+00:00,,,
ATP|Cincinnati Open|2026|R2|Bellucci M.::Mensik J.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-15 18:20:00+00:00,Bellucci M.,Mensik J.,Mensik J.,0.82,Mensik J.,True,2026-08-19 17:00:40.605295+00:00,,,
ATP|Cincinnati Open|2026|R2|Blockx A.::Navone M.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-15 15:10:00+00:00,Blockx A.,Navone M.,Blockx A.,0.6327,Blockx A.,True,2026-08-19 17:00:40.602295+00:00,,,
ATP|Cincinnati Open|2026|R2|Borges N.::Cerundolo F.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-16 19:15:00+00:00,Borges N.,Cerundolo F.,Cerundolo F.,0.6528,Borges N.,False,2026-08-19 17:00:40.623140+00:00,,,
ATP|Cincinnati Open|2026|R2|Darderi L.::Hijikata R.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-15 20:30:00+00:00,Darderi L.,Hijikata R.,Darderi L.,0.5016,Hijikata R.,False,2026-08-19 17:00:40.607295+00:00,,,
ATP|Cincinnati Open|2026|R2|Djokovic N.::Tirante T.A.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-15 18:10:00+00:00,Djokovic N.,Tirante T.A.,Djokovic N.,0.8819,Tirante T.A.,False,2026-08-19 17:00:40.604296+00:00,,,
ATP|Cincinnati Open|2026|R2|Duckworth J.::Fery A.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-15 21:30:00+00:00,Fery A.,Duckworth J.,Fery A.,0.624,Fery A.,True,2026-08-19 17:00:40.610295+00:00,,,
ATP|Cincinnati Open|2026|R2|Fonseca J.::Van De Zandschulp B.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-16 16:55:00+00:00,Fonseca J.,Van De Zandschulp B.,Fonseca J.,0.569,Fonseca J.,True,2026-08-19 17:00:40.618140+00:00,,,
ATP|Cincinnati Open|2026|R2|Fonseca J.::Vandezandschulp B.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-16 16:55:00+00:00,Fonseca J.,Vandezandschulp B.,Fonseca J.,0.7142,Fonseca J.,True,2026-08-20 17:59:11.259220+00:00,,STATUS_FINAL,False
ATP|Cincinnati Open|2026|R2|Fritz T.::Michelsen A.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-16 18:25:00+00:00,Fritz T.,Michelsen A.,Fritz T.,0.6398,Fritz T.,True,2026-08-19 17:00:40.621140+00:00,,,
ATP|Cincinnati Open|2026|R2|De Minaur A.::Halys Q.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-15 19:55:00+00:00,Halys Q.,De Minaur A.,De Minaur A.,0.788,De Minaur A.,True,2026-08-19 17:00:40.606295+00:00,,,
ATP|Cincinnati Open|2026|R2|Deminaur A.::Halys Q.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-15 19:55:00+00:00,Halys Q.,Deminaur A.,Halys Q.,0.5051,Deminaur A.,False,2026-08-20 17:59:11.254221+00:00,,STATUS_FINAL,False
ATP|Cincinnati Open|2026|R2|Fils A.::Hanfmann Y.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-16 00:10:00+00:00,Hanfmann Y.,Fils A.,Fils A.,0.7231,Fils A.,True,2026-08-19 17:00:40.614132+00:00,,,
ATP|Cincinnati Open|2026|R2|Humbert U.::Zheng M.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-16 15:05:00+00:00,Humbert U.,Zheng M.,Humbert U.,0.7079,Zheng M.,False,2026-08-19 17:00:40.615142+00:00,,,
ATP|Cincinnati Open|2026|R2|Jodar R.::Shapovalov D.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-15 23:05:00+00:00,Jodar R.,Shapovalov D.,Shapovalov D.,0.5077,Jodar R.,False,2026-08-19 17:00:40.612297+00:00,,,
ATP|Cincinnati Open|2026|R2|Cobolli F.::Kecmanovic M.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-15 15:10:00+00:00,Kecmanovic M.,Cobolli F.,Cobolli F.,0.584,Cobolli F.,True,2026-08-19 17:00:40.601296+00:00,,,
ATP|Cincinnati Open|2026|R2|Arnaldi M.::Landaluce M.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-15 15:05:00+00:00,Landaluce M.,Arnaldi M.,Landaluce M.,0.5434,Landaluce M.,True,2026-08-19 17:00:40.601296+00:00,,,
ATP|Cincinnati Open|2026|R2|Berrettini M.::Lehecka J.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-15 22:30:00+00:00,Lehecka J.,Berrettini M.,Lehecka J.,0.6107,Lehecka J.,True,2026-08-19 17:00:40.611296+00:00,,,
ATP|Cincinnati Open|2026|R2|Bergs Z.::Merida Aguilar D.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-16 20:50:00+00:00,Merida Aguilar D.,Bergs Z.,Bergs Z.,0.5219,Merida Aguilar D.,False,2026-08-19 17:00:40.625142+00:00,,,
ATP|Cincinnati Open|2026|R2|Kovacevic A.::Nakashima B.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-16 18:55:00+00:00,Nakashima B.,Kovacevic A.,Nakashima B.,0.7279,Nakashima B.,True,2026-08-19 17:00:40.622140+00:00,,,
ATP|Cincinnati Open|2026|R2|O Connell C.::Ruud C.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-16 15:05:00+00:00,O Connell C.,Ruud C.,Ruud C.,0.7348,O Connell C.,False,2026-08-19 17:00:40.616141+00:00,,,
ATP|Cincinnati Open|2026|R2|Hurkacz H.::Paul T.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-15 21:20:00+00:00,Paul T.,Hurkacz H.,Paul T.,0.6915,Paul T.,True,2026-08-19 17:00:40.609295+00:00,,,
ATP|Cincinnati Open|2026|R2|Cerundolo J.M.::Rinderknech A.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-16 16:50:00+00:00,Rinderknech A.,Cerundolo J.M.,Rinderknech A.,0.5888,Cerundolo J.M.,False,2026-08-19 17:00:40.618140+00:00,,,
ATP|Cincinnati Open|2026|R2|Carreno Busta P.::Rublev A.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-16 19:25:00+00:00,Rublev A.,Carreno Busta P.,Rublev A.,0.6379,Rublev A.,True,2026-08-19 17:00:40.624140+00:00,,,
ATP|Cincinnati Open|2026|R2|Carrenobusta P.::Rublev A.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-16 19:25:00+00:00,Rublev A.,Carrenobusta P.,Rublev A.,0.6682,Rublev A.,True,2026-08-20 17:59:11.262223+00:00,,STATUS_FINAL,False
ATP|Cincinnati Open|2026|R2|Faria J.::Shelton B.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-16 23:05:00+00:00,Shelton B.,Faria J.,Shelton B.,0.7767,Faria J.,False,2026-08-19 17:00:40.627142+00:00,,,
ATP|Cincinnati Open|2026|R2|Sonego L.::Tiafoe F.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-17 02:00:00+00:00,Sonego L.,Tiafoe F.,Tiafoe F.,0.67,Tiafoe F.,True,2026-08-19 17:00:40.628141+00:00,,,
ATP|Cincinnati Open|2026|R2|Struff J.L.::Tabilo A.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-15 19:20:00+00:00,Struff J.L.,Tabilo A.,Tabilo A.,0.6761,Tabilo A.,True,2026-08-19 17:00:40.605295+00:00,,,
ATP|Cincinnati Open|2026|R2|Baez S.::Tien L.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-16 20:35:00+00:00,Tien L.,Baez S.,Tien L.,0.7409,Tien L.,True,2026-08-19 17:00:40.624140+00:00,,,
ATP|Cincinnati Open|2026|R2|Medvedev D.::Trungelliti M.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-16 15:10:00+00:00,Trungelliti M.,Medvedev D.,Medvedev D.,0.8587,Medvedev D.,True,2026-08-19 17:00:40.617140+00:00,,,
ATP|Cincinnati Open|2026|R2|Auger-Aliassime F.::Tsitsipas S.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-16 17:20:00+00:00,Tsitsipas S.,Auger-Aliassime F.,Auger-Aliassime F.,0.729,Auger-Aliassime F.,True,2026-08-19 17:00:40.619142+00:00,,,
ATP|Cincinnati Open|2026|R2|Vacherot V.::Vallejo D.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-15 17:45:00+00:00,Vallejo D.,Vacherot V.,Vacherot V.,0.6794,Vallejo D.,False,2026-08-19 17:00:40.603297+00:00,,,
ATP|Cincinnati Open|2026|R2|Buse I.::Walton A.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-16 22:40:00+00:00,Walton A.,Buse I.,Buse I.,0.6467,Walton A.,False,2026-08-19 17:00:40.626142+00:00,,,
ATP|Cincinnati Open|2026|R2|Norrie C.::Zverev A.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-16 03:35:00+00:00,Zverev A.,Norrie C.,Zverev A.,0.7624,Zverev A.,True,2026-08-19 17:00:40.614236+00:00,,,
ATP|Cincinnati Open|2026|R3|Blockx A.::Cobolli F.,live_espn,ATP,Cincinnati Open,2026,Round 3,3,2026-08-17 15:10:00+00:00,Blockx A.,Cobolli F.,Cobolli F.,0.5788,Cobolli F.,True,2026-08-19 17:00:40.630140+00:00,,,
ATP|Cincinnati Open|2026|R3|Auger-Aliassime F.::Cerundolo J.M.,live_espn,ATP,Cincinnati Open,2026,Round 3,3,2026-08-18 23:10:00+00:00,Cerundolo J.M.,Auger-Aliassime F.,Auger-Aliassime F.,0.8147,Auger-Aliassime F.,True,2026-08-19 17:00:40.640140+00:00,0.201,,
ATP|Cincinnati Open|2026|R3|Faria J.::Walton A.,live_espn,ATP,Cincinnati Open,2026,Round 3,3,2026-08-18 21:10:00+00:00,Faria J.,Walton A.,Faria J.,0.5932,Faria J.,True,2026-08-19 17:00:40.640140+00:00,0.581,,
ATP|Cincinnati Open|2026|R3|De Minaur A.::Fery A.,live_espn,ATP,Cincinnati Open,2026,Round 3,3,2026-08-17 18:00:00+00:00,Fery A.,De Minaur A.,De Minaur A.,0.7792,De Minaur A.,True,2026-08-19 17:00:40.631141+00:00,,,
ATP|Cincinnati Open|2026|R3|Deminaur A.::Fery A.,live_espn,ATP,Cincinnati Open,2026,Round 3,3,2026-08-17 18:00:00+00:00,Fery A.,Deminaur A.,Fery A.,0.5321,Deminaur A.,False,2026-08-20 17:59:11.265221+00:00,,STATUS_FINAL,False
ATP|Cincinnati Open|2026|R3|Fonseca J.::O Connell C.,live_espn,ATP,Cincinnati Open,2026,Round 3,3,2026-08-18 15:00:00+00:00,Fonseca J.,O Connell C.,Fonseca J.,0.705,O Connell C.,False,2026-08-19 17:00:40.636141+00:00,,,
ATP|Cincinnati Open|2026|R3|Fritz T.::Merida Aguilar D.,live_espn,ATP,Cincinnati Open,2026,Round 3,3,2026-08-18 16:45:00+00:00,Fritz T.,Merida Aguilar D.,Fritz T.,0.7575,Fritz T.,True,2026-08-19 17:00:40.637141+00:00,,,
ATP|Cincinnati Open|2026|R3|Hijikata R.::Mensik J.,live_espn,ATP,Cincinnati Open,2026,Round 3,3,2026-08-17 23:10:00+00:00,Hijikata R.,Mensik J.,Mensik J.,0.7638,Mensik J.,True,2026-08-19 17:00:40.632141+00:00,,,
ATP|Cincinnati Open|2026|R3|Jodar R.::Tabilo A.,live_espn,ATP,Cincinnati Open,2026,Round 3,3,2026-08-17 22:05:00+00:00,Jodar R.,Tabilo A.,Jodar R.,0.5497,Jodar R.,True,2026-08-19 17:00:40.632141+00:00,,,
ATP|Cincinnati Open|2026|R3|Fils A.::Lehecka J.,live_espn,ATP,Cincinnati Open,2026,Round 3,3,2026-08-18 01:05:00+00:00,Lehecka J.,Fils A.,Fils A.,0.5427,Fils A.,True,2026-08-19 17:00:40.634140+00:00,,,
ATP|Cincinnati Open|2026|R3|Medvedev D.::Nakashima B.,live_espn,ATP,Cincinnati Open,2026,Round 3,3,2026-08-18 18:50:00+00:00,Nakashima B.,Medvedev D.,Medvedev D.,0.6955,Nakashima B.,False,2026-08-19 17:00:40.639141+00:00,0.186,,
ATP|Cincinnati Open|2026|R3|Paul T.::Vallejo D.,live_espn,ATP,Cincinnati Open,2026,Round 3,3,2026-08-18 02:40:00+00:00,Paul T.,Vallejo D.,Paul T.,0.7306,Paul T.,True,2026-08-19 17:00:40.635144+00:00,,,
ATP|Cincinnati Open|2026|R3|Borges N.::Rublev A.,live_espn,ATP,Cincinnati Open,2026,Round 3,3,2026-08-18 15:10:00+00:00,Rublev A.,Borges N.,Rublev A.,0.6356,Borges N.,False,2026-08-19 17:00:40.636141+00:00,,,
ATP|Cincinnati Open|2026|R3|Tiafoe F.::Tien L.,live_espn,ATP,Cincinnati Open,2026,Round 3,3,2026-08-19 00:20:00+00:00,Tien L.,Tiafoe F.,Tien L.,0.517,Tiafoe F.,False,2026-08-19 17:00:40.641141+00:00,0.535,,
ATP|Cincinnati Open|2026|R3|Landaluce M.::Tirante T.A.,live_espn,ATP,Cincinnati Open,2026,Round 3,3,2026-08-17 15:10:00+00:00,Tirante T.A.,Landaluce M.,Tirante T.A.,0.5143,Tirante T.A.,True,2026-08-19 17:00:40.629141+00:00,,,
ATP|Cincinnati Open|2026|R3|Andaluce M.::Tirante T.A.,live_espn,ATP,Cincinnati Open,2026,Round 3,3,2026-08-17 15:10:00+00:00,Tirante T.A.,Andaluce M.,Tirante T.A.,0.6196,Tirante T.A.,True,2026-08-20 17:59:11.264221+00:00,,STATUS_FINAL,False
ATP|Cincinnati Open|2026|R3|Musetti L.::Zheng M.,live_espn,ATP,Cincinnati Open,2026,Round 3,3,2026-08-18 16:50:00+00:00,Zheng M.,Musetti L.,Musetti L.,0.7406,Musetti L.,True,2026-08-19 17:00:40.638141+00:00,,,
ATP|Cincinnati Open|2026|R3|Atmane T.::Zverev A.,live_espn,ATP,Cincinnati Open,2026,Round 3,3,2026-08-17 23:50:00+00:00,Zverev A.,Atmane T.,Zverev A.,0.8304,Zverev A.,True,2026-08-19 17:00:40.633141+00:00,,,
ATP|Cincinnati Open|2026|R4|Borges N.::Nakashima B.,live_espn,ATP,Cincinnati Open,2026,Round 4,4,2026-08-19 22:35:00+00:00,Borges N.,Nakashima B.,Nakashima B.,0.6768,Nakashima B.,True,2026-08-20 17:59:11.272222+00:00,,STATUS_FINAL,False
ATP|Cincinnati Open|2026|R4|Faria J.::Musetti L.,live_espn,ATP,Cincinnati Open,2026,Round 4,4,2026-08-20 01:15:00+00:00,Faria J.,Musetti L.,Musetti L.,0.7258,Musetti L.,True,2026-08-20 17:59:11.274221+00:00,,STATUS_FINAL,False
ATP|Cincinnati Open|2026|R4|Deminaur A.::Fils A.,live_espn,ATP,Cincinnati Open,2026,Round 4,4,2026-08-19 19:20:00+00:00,Fils A.,Deminaur A.,Fils A.,0.7885,Fils A.,True,2026-08-20 17:59:11.271222+00:00,0.615,STATUS_FINAL,False
ATP|Cincinnati Open|2026|R4|Fritz T.::O Connell C.,live_espn,ATP,Cincinnati Open,2026,Round 4,4,2026-08-20 00:35:00+00:00,Fritz T.,O Connell C.,Fritz T.,0.8188,Fritz T.,True,2026-08-20 17:59:11.273222+00:00,0.863,STATUS_FINAL,False
ATP|Cincinnati Open|2026|R4|Cobolli F.::Jodar R.,live_espn,ATP,Cincinnati Open,2026,Round 4,4,2026-08-19 15:10:00+00:00,Jodar R.,Cobolli F.,Jodar R.,0.6331,Cobolli F.,False,2026-08-19 21:54:03.227110+00:00,0.725,,
ATP|Cincinnati Open|2026|R4|Auger-Aliassime F.::Tiafoe F.,live_espn,ATP,Cincinnati Open,2026,Round 4,4,2026-08-20 01:20:00+00:00,Tiafoe F.,Auger-Aliassime F.,Auger-Aliassime F.,0.6156,Tiafoe F.,False,2026-08-20 17:59:11.275221+00:00,,STATUS_FINAL,False
