player,win_count,tournament_win_probability
Sabalenka A.,4072,0.4072
Rybakina E.,1582,0.1582
Pegula J.,894,0.0894
Gauff C.,510,0.051
Swiatek I.,449,0.0449
Anisimova A.,218,0.0218
Svitolina E.,205,0.0205
Townsend T.,160,0.016
Pliskova Ka.,145,0.0145
Kostyuk M.,137,0.0137
Cirstea S.,135,0.0135
Osaka N.,119,0.0119
Krejcikova B.,113,0.0113
Kessler M.,84,0.0084
Andreeva M.,82,0.0082
Keys M.,78,0.0078
Bejlek S.,76,0.0076
Osorio M.,71,0.0071
Bencic B.,60,0.006
Noskova L.,57,0.0057
Samsonova L.,55,0.0055
Kalinskaya A.,52,0.0052
Gibson T.,49,0.0049
Kasatkina D.,43,0.0043
Zhang S.,39,0.0039
Bartunkova N.,36,0.0036
Joint M.,31,0.0031
McNally C.,30,0.003
Frech M.,30,0.003
Korneeva A.,29,0.0029
Linette M.,29,0.0029
Sonmez Z.,28,0.0028
Mertens E.,25,0.0025
Ruzic A.,23,0.0023
Shnaider D.,22,0.0022
Eala A.,22,0.0022
Zarazua R.,22,0.0022
Tauson C.,19,0.0019
Jovic I.,17,0.0017
Cross K.,16,0.0016
Sramkova R.,16,0.0016
Tararudee L.,14,0.0014
Golubic V.,11,0.0011
Ruse E.G.,11,0.0011
Siniakova K.,10,0.001
Parks A.,8,0.0008
Sakkari M.,8,0.0008
Potapova A.,7,0.0007
Sebov K.,7,0.0007
Bouzas Maneiro J.,6,0.0006
Alexandrova E.,6,0.0006
Udvardy P.,5,0.0005
Chwalinska M.,5,0.0005
Ostapenko J.,5,0.0005
Rakhimova K.,4,0.0004
Day K.,3,0.0003
Vekic D.,3,0.0003
Bouzkova M.,2,0.0002
Uchijima M.,1,0.0001
Bondar A.,1,0.0001
Stephens S.,1,0.0001
Li A.,1,0.0001
Navarro E.,1,0.0001
Kudermetova P.,0,0.0
Stearns P.,0,0.0
Blinkova A.,0,0.0
Cocciaretto E.,0,0.0
Brace C.,0,0.0
Kalinina A.,0,0.0
Oliynykova O.,0,0.0
Parry D.,0,0.0
Boulter K.,0,0.0
Arseneault A.,0,0.0
Wang Xiy.,0,0.0
Williams V.,0,0.0
Birrell K.,0,0.0
Bucsa C.,0,0.0
Ito A.,0,0.0
Stefanini L.,0,0.0
Jimenez Kasintseva V.,0,0.0
Wang Xin.,0,0.0
Sierra S.,0,0.0
Marino R.,0,0.0
Maria T.,0,0.0
Valentova T.,0,0.0
Starodubtseva Y.,0,0.0
Lys E.,0,0.0
Korpatsch T.,0,0.0
Jones E.,0,0.0
Andreescu B.,0,0.0
Putintseva Y.,0,0.0
Jeanjean L.,0,0.0
Boisson L.,0,0.0
Tjen J.,0,0.0
Zhao C.,0,0.0
Fernandez L.,0,0.0
