player,hard_elo,clay_elo,grass_elo,overall_elo,hard_matches,clay_matches,grass_matches,current_rank
Landaluce M.,1500.253429026926,1475.8621558664893,1468.8020975253382,1472.6435931211556,12,15,5,64
Gakhov I.,1472.5899056910143,1467.5681383909248,1472.5899056910143,1472.5899056910143,0,5,0,265
Sweeny D.,1474.2426833520549,1472.4800622044138,1474.619649056049,1472.4800622044138,7,0,1,127
Bautista Agut R.,1457.8747404680757,1464.9553529655082,1530.7391202460187,1472.2238535373174,112,48,32,183
Cassone M.,1474.2471646334589,1472.1506638382396,1473.775686090996,1472.1506638382396,1,0,1,291
Ilkel C.,1471.3196327986518,1471.6057827739032,1471.6057827739032,1471.6057827739032,7,0,0,259
Gomez F.,1475.6463673663534,1472.9311080621426,1471.4255715509266,1471.4255715509266,3,1,0,137
Hoang A.,1470.8222128778211,1470.8222128778211,1470.8222128778211,1470.8222128778211,2,0,0,155
Sachko V.,1492.0764548887562,1460.7905623643155,1470.4682884614,1470.4682884614,6,4,0,208
Moller E.,1472.7775809242712,1476.253819520653,1472.0614951262453,1469.9835399330025,1,10,1,169
Broom C.,1469.9747229068182,1469.9747229068182,1470.0355097701095,1469.9747229068182,0,0,2,248
Dodig M.,1469.9386154631802,1470.8312988130144,1469.9386154631802,1469.9386154631802,0,4,0,254
Durasovic V.,1469.901374708154,1469.901374708154,1469.901374708154,1469.901374708154,2,0,0,345
Gaio F.,1469.864992977226,1469.8649929772257,1469.8649929772257,1469.8649929772257,2,0,0,174
Oliel Y.,1469.7887020245153,1469.7887020245153,1469.7887020245153,1469.7887020245153,2,0,0,383
Broady L.,1487.1754734973306,1471.4568678286582,1460.1538763846793,1469.7701784889698,14,1,15,156
Jarry N.,1491.3697031016195,1454.3358648134,1514.866271738704,1469.7372852692083,52,63,14,155
Olivo R.,1471.317892375025,1471.4896247451463,1469.5153983027178,1469.5153983027178,1,1,0,179
Wu T.L.,1468.7268725840145,1469.2517344605435,1469.2517344605435,1469.2517344605435,5,0,0,175
Madaras D.,1470.9381768543738,1471.0352013510285,1469.2142996093403,1469.2142996093403,1,1,0,191
Klahn B.,1469.1184235977717,1468.77239859822,1468.77239859822,1468.77239859822,2,0,0,797
Piros Z.,1468.536709097576,1475.5207128827476,1468.7074642395048,1468.7074642395048,2,2,0,156
Kirchheimer S.,1469.162507467001,1468.395898630837,1468.395898630837,1468.395898630837,2,0,0,512
Wendelken H.,1468.3696329751124,1468.3696329751124,1467.8912051264895,1468.3696329751124,0,0,2,202
Lazarov A.,1466.1914486174182,1467.8520458283947,1467.8520458283947,1467.8520458283947,4,0,0,709
Lalami Laaroussi Y.,1467.6383658961431,1467.899273900445,1467.6383658961431,1467.6383658961431,0,2,0,1193
Chidekh C.,1467.6202241376793,1467.62452105042,1467.62452105042,1467.62452105042,2,0,0,189
Lama G.,1469.4294641660651,1469.245776474943,1467.3479590469317,1467.3479590469317,1,1,0,410
Mukund S.,1469.0942463168958,1467.134395852115,1469.2425963706005,1467.134395852115,1,0,1,356
Fearnley J.,1452.994316405991,1487.1403735943104,1478.5761519572134,1466.9662602614783,23,13,12,110
Popko D.,1466.744531474615,1466.8455036257658,1466.8455036257658,1466.8455036257658,2,0,0,208
Sousa P.,1466.740561847799,1467.1555138935641,1466.740561847799,1466.740561847799,0,2,0,475
Echargui M.,1466.0241701063753,1466.5111361027916,1466.5111361027916,1466.5111361027916,3,0,0,141
Chappell N.,1466.8696121862922,1466.4956940728425,1466.4956940728425,1466.4956940728425,2,0,0,432
Sun F.,1465.8750270428486,1465.9979167894348,1465.9979167894348,1465.9979167894348,2,0,0,236
Barrena A.,1465.9680117404373,1466.0274614386828,1465.9680117404373,1465.9680117404373,0,2,0,183
Duckworth J.,1446.1123885599206,1446.5436663427356,1475.9085264877726,1465.9098417964071,77,8,22,86
Ajdukovic D.,1468.2602894562206,1474.4758907370126,1465.8453605331958,1465.8453605331958,1,9,0,115
Trungelliti M.,1462.378459018958,1488.097747366349,1465.598437946552,1465.3081855560783,5,23,2,95
Moroni G.M.,1467.5013699872993,1467.4576845924255,1465.2991275705565,1465.2991275705565,1,1,0,181
Bailly G.,1463.8254079460594,1465.0791862349429,1465.0791862349429,1465.0791862349429,2,0,0,869
Blanchet U.,1470.0413382051647,1469.7326378920418,1464.6147913330121,1464.6147913330121,10,3,0,174
Chung Y.,1466.8337809584611,1464.5026460422457,1466.9505818540401,1464.5026460422457,1,0,1,322
Kozlov S.,1478.6994233077212,1464.4986753652006,1465.1626133352747,1464.4986753652006,10,0,2,108
Millman J.,1484.0965787676048,1461.1386766909095,1469.5220385041227,1464.221752538954,38,5,3,140
Taberner C.,1460.5005205935306,1490.002272506211,1466.3534110001508,1464.0515598681675,9,21,1,99
Giannessi A.,1463.9398277471453,1464.7305922045189,1463.9398277471453,1463.9398277471453,0,2,0,224
Hemery C.,1466.0520583521593,1466.398879666015,1463.8844339040172,1463.8844339040172,1,1,0,171
Lokoli L.,1464.586941960776,1463.4599748467203,1465.931952863692,1463.4599748467203,2,0,1,199
Sakamoto R.,1461.9834602191577,1463.2348053907558,1463.2348053907558,1463.2348053907558,6,0,0,164
Rosol L.,1465.0954380952874,1462.9593271173326,1465.5932943591358,1462.9593271173326,1,0,1,226
Napolitano S.,1465.1638182861036,1472.9349191829428,1465.9384157881668,1462.6541361565166,1,5,1,125
Balazs A.,1461.6940423595001,1463.9726198382903,1464.7016480327613,1461.6940423595001,0,2,1,745
Kotov P.,1430.8452884883486,1518.0336252829852,1475.0710816881196,1461.2639265475439,42,32,4,107
Nava E.,1443.3124263034847,1476.3276200323771,1462.9567022890017,1461.080142741182,30,15,2,86
Engel J.,1468.9705586454145,1455.5424716815965,1474.4112979736672,1461.0558012319468,2,6,4,190
Svajda T.,1460.2393973856629,1460.705722739056,1460.705722739056,1460.705722739056,3,0,0,436
Pella G.,1468.4135685135655,1457.002705630541,1482.5419840360914,1460.5089993020927,14,11,5,203
Bu Y.,1483.039109482791,1441.7795178244596,1461.931032136882,1460.3209298242575,45,7,2,120
Budkov Kjaer N.,1457.2181841284398,1474.2744792861288,1459.8326295805143,1459.8326295805143,4,5,0,118
Jacquet K.,1468.0046270131688,1462.6900719839732,1469.6862255286237,1459.3408025919741,6,5,2,121
Harris L.,1461.2692778864152,1439.9165916840384,1482.0577123814423,1459.2458969834088,42,10,10,353
Schwaerzler J.J.,1457.9186630312552,1455.9872416338128,1457.9186630312552,1457.9186630312552,0,3,0,185
Searle H.,1457.468998965359,1457.468998965359,1456.3175230584025,1457.468998965359,0,0,3,421
Smith C.,1455.2535750220077,1472.6560968154508,1457.2441821289374,1457.2441821289374,6,4,0,164
Serdarusic N.,1459.8910299466993,1460.2806355115204,1456.765693066006,1456.765693066006,2,1,0,702
Bolt A.,1449.8053153246408,1467.3637648110196,1456.5241951225782,1456.7644271448555,7,2,7,165
Neumayer L.,1456.105242637607,1455.7746667198317,1456.105242637607,1456.105242637607,0,5,0,172
Ivashka I.,1492.5741622552948,1447.8915605688653,1471.6547921835818,1455.9997475677021,55,21,11,103
Tseng C. H.,1453.9945491138826,1466.271431313562,1455.9386527957545,1455.9386527957545,6,3,0,159
Rincon D.,1455.7433026765434,1456.3735134595377,1455.7433026765434,1455.7433026765434,0,3,0,216
Rottgering M.,1458.0764775645134,1455.675922486286,1459.048374462362,1455.675922486286,2,0,1,464
Poljicak M.,1455.521691528866,1455.2450641431255,1455.521691528866,1455.521691528866,0,3,0,277
Djere L.,1459.6845185297916,1552.189071450207,1434.5319605567727,1455.3332761616384,70,76,17,221
Maestrelli F.,1464.0518801432509,1457.4927308841652,1454.3668500344197,1454.3668500344197,4,2,0,112
Vatutin A.,1456.581993794213,1457.836143608743,1454.2972706772534,1454.2972706772534,2,1,0,336
Habib H.,1453.37457951023,1454.2493722328695,1454.2493722328695,1454.2493722328695,6,0,0,334
Martin A.,1458.7151800130662,1457.8918529832436,1454.1621176951355,1454.1621176951355,5,1,0,404
Krutykh O.,1457.2579264000892,1457.876472863298,1454.0274029920809,1454.0274029920809,2,1,0,180
Zhang Zh.,1423.3709638316745,1502.6312789669316,1502.1224090615833,1453.9313350438115,62,37,16,214
Galarneau A.,1452.3704929599567,1453.7641873543987,1457.9619113363249,1453.7641873543987,6,0,1,175
Heide G.,1453.6771165098658,1450.44504119703,1453.6771165098658,1453.6771165098658,0,10,0,258
Pannu K.,1451.86036681344,1453.3626165580179,1453.3626165580179,1453.3626165580179,3,0,0,716
Donskoy E.,1453.3510601957792,1453.3510601957794,1453.3510601957794,1453.3510601957794,3,0,0,149
Walton A.,1438.3010194154688,1472.060581752195,1461.6737138040326,1453.0820837693554,48,10,9,97
Caruso S.,1452.9570752867667,1452.957075286767,1452.957075286767,1452.957075286767,5,0,0,146
Mccabe J.,1456.3265809096965,1452.647579206164,1456.5666318053934,1452.647579206164,5,0,1,258
Dougaz A.,1456.1174779789412,1456.7294406337373,1452.5710867211278,1452.5710867211278,3,1,0,212
Barrere G.,1425.9685875346668,1470.2191729896717,1489.2378569285383,1452.390856031493,35,20,9,144
Pouille L.,1454.0683794855945,1458.3775518724638,1460.17204028073,1452.3830975814442,15,7,1,104
O Connell C.,1471.4724994023454,1431.441321617996,1454.43430056487,1452.2973757616369,93,30,12,133
Ofner S.,1430.0771047241094,1477.3246286825472,1482.110444150213,1452.0959581240445,34,49,14,124
Dedura D.,1451.574277600969,1456.461782170031,1455.4283458977552,1451.574277600969,0,3,1,262
Travaglia S.,1449.5109249163768,1468.3322267215826,1451.3799956714572,1451.3799956714572,11,5,0,150
Moreno De Alboran N.,1448.5899493007414,1467.386053053694,1450.4244480965065,1450.4244480965065,6,12,0,149
Loffhagen G.,1450.39134951725,1450.39134951725,1445.4955677608314,1450.39134951725,0,0,4,293
Cuevas P.,1453.9347978405353,1462.695008954704,1450.209716283064,1450.209716283064,2,8,0,149
Berankis R.,1483.4450407128668,1452.017568305523,1459.7309390168375,1450.1946632280346,19,3,3,212
Vukic A.,1468.3565512738612,1414.7024799185886,1466.8036909721773,1449.9760719892117,99,21,24,101
Varillas J.P.,1470.9535975987435,1462.6950210966336,1454.2103905980227,1449.9185053718454,11,25,1,162
Eubanks C.,1441.96273646399,1439.964579924259,1517.162292030519,1449.8363335694485,57,10,24,130
Chardy J.,1454.0912087963238,1452.9234764012367,1454.667620295078,1449.8092713938238,1,2,1,542
Polmans M.,1457.4873338365687,1449.5642422323922,1455.071426459938,1449.5642422323922,4,0,2,366
Carballes Baena R.,1441.564353196039,1494.8639590047333,1452.9630693432812,1447.9005417709457,66,73,10,175
Borg L.,1450.2010059444547,1459.5502729470927,1447.7857169290332,1447.7857169290332,6,3,0,622
Wolf J.J.,1448.9504166200766,1472.11679395008,1474.0083880536768,1447.10173869161,68,16,6,143
Rehberg M.,1447.0475138113675,1444.8901911890134,1447.0475138113675,1447.0475138113675,0,4,0,473
Tsonga J.W.,1460.291123098384,1451.0707635654462,1446.646950189395,1446.646950189395,6,3,0,297
Bagnis F.,1447.7928962413062,1459.6425844965302,1451.2367213082464,1446.5562529237102,20,26,1,689
Wawrinka S.,1529.7771315356354,1390.9602438523466,1472.8358874672106,1446.4787439378727,66,46,9,118
Couacaud E.,1460.4362941535503,1450.9821075401273,1451.2763223394127,1446.2652657601457,4,1,2,205
Rocha H.,1445.7724649467057,1446.3779125791386,1445.7724649467057,1445.7724649467057,0,10,0,123
Rodionov J.,1470.6014886567473,1444.3646154678304,1450.4208365869938,1445.6238132422786,10,15,1,145
Ritschard A.,1461.0787768928276,1451.1532532632382,1450.753836817186,1445.56014981856,3,7,1,125
McDonald M.,1430.3904712829587,1465.2451930984994,1457.2660691159679,1445.0947597145755,23,5,6,145
Nardi L.,1468.3753111126994,1419.299492928564,1451.2530686338769,1444.3845369051396,32,16,5,151
Harris B.,1427.4167320224706,1449.3093246017997,1480.950156268451,1444.3738409810467,8,1,17,155
Thiem D.,1481.7043322419172,1471.4689649455436,1447.7828959116096,1444.3724153607113,35,44,3,318
Benchetrit E.,1444.242789356008,1443.4859432087496,1444.242789356008,1444.242789356008,0,4,0,608
Gomez E.,1448.8185645803806,1455.3840859801144,1443.118094358277,1443.118094358277,13,3,0,155
Choinski J.,1444.5010391595097,1447.7844523131882,1463.1673120777937,1442.2253934406995,4,5,10,75
Pacheco Mendez R.,1435.8542267676805,1442.162713425052,1442.162713425052,1442.162713425052,10,0,0,320
Royer V.,1458.3940499082155,1440.4938786881971,1455.1015430437233,1441.8104897544815,30,7,4,78
Zhou Y.,1436.7864442159737,1441.4306805240533,1441.4306805240533,1441.4306805240533,8,0,0,308
Zhukayev B.,1444.3719820663382,1440.7373676567795,1446.1388961195057,1440.7373676567795,9,0,1,237
Skatov T.,1446.591863315371,1458.8169150762556,1440.4228206389043,1440.4228206389043,7,9,0,163
Gombos N.,1443.4243299038997,1456.540111700197,1439.5437764593298,1439.5437764593298,6,6,0,307
Kohlschreiber P.,1448.5461807813906,1445.0903451703662,1439.531823051847,1439.531823051847,7,1,0,132
Clarke J.,1444.5227314276294,1438.9878469331625,1443.3696223202157,1438.9878469331625,1,0,3,196
Seppi A.,1447.6828239592091,1437.66260654303,1443.4547807251513,1437.66260654303,12,0,1,141
Meligeni Alves F.,1460.956720972614,1442.0646324857437,1440.8538747021798,1434.9757234937683,4,6,1,194
Jaziri M.,1439.24083766739,1440.871714509418,1434.796096911125,1434.796096911125,3,1,0,444
Johnson S.,1425.5176102317857,1462.9186579529646,1464.103352201671,1434.455766421325,32,6,6,246
Shimabukuro S.,1423.1895438673491,1434.454389749294,1455.086525012682,1434.454389749294,16,0,6,94
Gojo B.,1473.3816179539936,1428.2920597762693,1441.3102650135704,1433.871212223878,18,7,2,255
Gasquet R.,1431.8205986578942,1440.1111942628609,1452.3163619172544,1431.4240162989602,64,39,10,166
Basilashvili N.,1392.9752947935972,1451.9762007744134,1472.7835778884387,1431.1860909483773,52,24,10,130
Lajovic D.,1467.2692863110176,1446.3064915666514,1427.5729693205672,1431.0691896806666,52,81,6,152
Schoolkate T.,1429.4627136827967,1437.2129375038567,1436.7974725354873,1430.0019584698018,21,1,1,118
Kovacevic A.,1448.421451190213,1425.977586457509,1415.045961906326,1429.2126607906741,80,22,11,95
Blancaneaux G.,1432.026806214174,1434.852176983379,1427.7257730377112,1427.7257730377112,4,1,0,152
Krajinovic F.,1439.406875571514,1435.8265658450591,1487.568131961993,1427.438989142745,37,18,7,93
Draxl L.,1430.0693921007253,1434.2450244364486,1427.2423574693016,1427.2423574693016,4,1,0,209
Shelbayh A.,1438.5290638498536,1441.6051816510399,1445.4759490603342,1426.3947769950614,5,4,4,299
Sandgren T.,1425.4877608273914,1426.2245231784714,1426.2245231784714,1426.2245231784714,8,0,0,281
Ymer E.,1473.3234140703794,1426.9508070415138,1435.4090101277852,1425.793644509609,23,15,3,184
Kubler J.,1424.2558056643882,1476.9189089805268,1482.8542677473024,1425.6738802258058,19,12,12,194
Mager G.,1424.9324914313236,1424.9324914313236,1424.9324914313236,1424.9324914313236,18,0,0,67
Novak D.,1436.0594580235206,1432.2936070331375,1442.6157845628597,1424.890032853528,6,1,3,166
Krueger M.,1427.0406918600315,1434.7918832013556,1442.5014076091124,1424.883992250607,16,2,2,159
Anderson K.,1409.5811043936292,1424.478637381786,1450.6715120110825,1424.478637381786,15,0,3,652
Passaro F.,1418.9570202814652,1458.2922080763542,1424.3110733387778,1424.3110733387778,8,22,0,163
Kukushkin M.,1440.1026460827782,1434.010167576467,1431.497901201391,1424.202927046871,15,2,1,113
Monteiro T.,1390.0906184795563,1473.2462911658276,1435.14733984733,1424.1455202791965,29,51,5,208
Mayot H.,1440.598025464367,1442.573653772774,1440.8639682914595,1422.5735488020316,14,4,3,160
Cina F.,1442.1805379375867,1425.3398916039505,1422.4948170522775,1422.4948170522775,3,10,0,184
Ramanathan R.,1422.2263693836958,1421.5201231979258,1421.5201231979258,1421.5201231979258,5,0,0,332
Fognini F.,1406.456690854833,1474.3996894760396,1445.2968362502374,1420.9515573297683,44,50,9,138
Kypson P.,1450.6383637729807,1425.1661179743237,1440.3894374154524,1420.8829891514306,12,5,2,113
Gerasimov E.,1402.6404790354954,1448.774650333512,1420.228281088012,1420.228281088012,23,4,0,304
Hassan B.,1428.6548583739796,1430.7900700442392,1419.2164443191803,1419.2164443191803,4,2,0,289
Querrey S.,1421.1623919208212,1436.5513847470147,1442.7260741143941,1418.850689347774,8,2,6,287
Otte O.,1421.611270231568,1473.2343357180014,1465.522985318482,1418.2241138026675,31,16,14,474
Edmund K.,1436.7390394007766,1428.8332996960144,1417.7217930969598,1417.7217930969598,9,3,0,473
Schwartzman D.,1461.4120397478616,1443.9150807605897,1450.1791025381453,1415.1347386018192,61,50,8,386
Herbert P.,1436.2576649588416,1429.9740585941672,1426.1182787075256,1413.9222325239384,4,7,2,232
Tu L.,1420.4253880548806,1413.5585435880876,1433.9509798112708,1413.5585435880876,8,0,4,177
Andujar P.,1448.4252825557662,1439.6675566355693,1421.4268681298427,1412.578989440144,17,13,1,323
Albot R.,1455.855580153633,1439.1749853954593,1413.9866668380068,1412.0043072977103,34,7,8,223
Cecchinato M.,1415.270118349867,1455.5320439080356,1424.1010188648193,1411.500272356363,9,30,2,175
Escobedo E.,1411.5977572516633,1410.7828133930298,1410.7828133930298,1410.7828133930298,10,0,0,493
Grenier H.,1414.3282299734678,1431.199188357718,1429.4308087995173,1409.877632934717,15,8,2,188
Gaston H.,1418.8565605139715,1437.255668003632,1440.2657607020565,1409.242191853335,49,47,8,109
Bedene A.,1420.8557223230223,1446.8426871055108,1421.8883880449257,1408.5032684024698,3,8,2,347
Topo M.,1415.751764867238,1409.7885475865835,1406.2425484323426,1406.2425484323426,1,6,0,374
Coria F.,1370.8169071139012,1457.5715762197633,1417.3525150248593,1401.9638224193634,21,60,3,322
Gojowczyk P.,1418.5758044994027,1411.6070093269648,1427.0470074884395,1401.388322377332,21,1,3,108
Zeppieri G.,1424.0069197960433,1431.2533043606895,1411.1864541475913,1401.0868778623428,9,15,1,160
Cachin P.,1383.323952628513,1436.0627120707306,1411.3161343696831,1393.5015760101817,20,42,2,110
Martinez P.,1373.7068587436547,1448.3787260798927,1413.5185207352213,1393.4879055984393,68,80,11,159
Coric B.,1407.53157413536,1480.42612598312,1422.46637674136,1393.4857771640002,63,29,5,105
Marterer M.,1405.748021091039,1428.8039363620817,1439.193477800701,1392.1886283248837,21,10,7,239
Ramos-Vinolas A.,1358.7880767181962,1443.4763477965805,1404.7154782254684,1384.5225684699099,37,67,4,122
Barrios M.,1417.2356894416569,1397.719049579557,1408.3383544253616,1381.9616511863271,5,17,2,119
Holt B.,1382.6921849953021,1393.8465314136556,1412.3259588598328,1380.9674644727493,14,1,3,110
Galan D.E.,1401.197481038696,1390.8741346111326,1448.9107399024906,1380.3028124224763,31,45,8,131
Daniel T.,1414.1065478651487,1410.6532428193948,1397.5572149422396,1378.267333005001,75,19,6,194
Sousa J.,1413.4883487090415,1433.936984028201,1400.6635929327542,1377.9911355840661,18,24,3,272
Nagal S.,1381.7502924360417,1437.9405292025076,1390.157725497172,1376.9634340371974,12,12,1,292
Cressy M.,1435.3157435132869,1377.409949925167,1465.5212156774799,1376.4590560309364,58,11,21,173
Kudla D.,1389.9452622539366,1408.6903832287976,1408.7420489336032,1371.8483572804266,30,5,4,160
Dellien H.,1396.7842942876046,1409.8718918518525,1396.0918860532224,1369.9710085768697,5,39,3,144
Lestienne C.,1408.3670375111014,1396.553235197689,1398.0793435225723,1369.896441779854,39,3,7,169
Laaksonen H.,1397.2722084317038,1404.9977747698101,1383.0876321715764,1368.4897207113881,15,5,1,125
Delbonis F.,1350.0159224467056,1422.7351835416753,1390.8124312015075,1367.5503576458825,13,24,2,131
Zapata Miralles B.,1340.7278018499837,1478.7444704318723,1392.1397413105951,1364.2878522800672,26,45,4,144
Lopez F.,1384.729865796142,1391.7140933337053,1411.5972925377828,1363.8960037226605,10,3,8,634
Tseng C.H.,1396.2800010670544,1420.0479912156266,1390.5573215513868,1363.6852963701576,13,9,3,144
Huesler M.A.,1406.3674093133016,1390.6532527593163,1405.0600640148682,1354.9207711676092,34,17,8,159
Verdasco F.,1365.543402116896,1418.6842773317908,1363.5886845507516,1346.2668824471702,11,10,1,244
Paire B.,1391.860132535583,1348.2604630950864,1375.8076942781754,1322.0195018423722,28,14,4,227
