player,hard_elo,clay_elo,grass_elo,overall_elo,hard_matches,clay_matches,grass_matches,current_rank
Alves M.,1496.3675743653016,1496.0578492804611,1496.3675743653016,1496.3675743653016,0,1,0,556
Goffin D.,1481.7246588627195,1512.629933700551,1484.9530561285862,1496.242339813648,83,37,13,104
Samrej K.,1496.1498553388178,1496.1852976869704,1496.1852976869704,1496.1852976869704,1,0,0,418
Damm M.,1492.0214732101736,1494.2931245641958,1493.2104015359275,1496.1372341838476,13,3,5,100
Alvarez Valdes L.C.,1496.159666844993,1495.5817419730424,1495.5817419730424,1495.5817419730424,2,0,0,784
Lajal M.,1491.707926872852,1495.3329043996332,1493.600274594361,1495.3329043996332,3,0,3,149
Mpetshi Perricard G.,1495.316489736061,1495.3020974182587,1495.3020974182587,1495.3020974182587,1,0,0,56
Monday J.,1495.2206818162701,1495.2206818162701,1494.5627481413037,1495.2206818162701,0,0,1,224
Coppejans K.,1497.495759942113,1495.0643388659198,1494.1452364927666,1495.0643388659198,2,0,1,186
Denolly C.,1494.6913274770259,1495.1383753231971,1494.6913274770259,1494.6913274770259,0,2,0,328
Brouwer G.,1491.47100463032,1501.3193346788728,1485.184344417529,1494.6238288140796,9,9,8,190
Kwon S.W.,1516.5182883550917,1471.1193806575932,1482.8817762179717,1494.570745737425,53,11,3,340
Garin C.,1480.591134993066,1494.0708481663278,1502.166941075495,1494.4201751895764,39,65,10,114
Zheng M.,1486.7662953567528,1493.4505840377747,1501.8584670436564,1494.3668605293806,6,1,3,113
Misolic F.,1466.8160722823338,1540.6373969454685,1493.2621254083797,1494.2407565210751,10,24,1,84
Samuel T.,1493.7864216408793,1493.3781771209701,1489.193358753144,1493.7864216408793,0,1,5,123
Pinnington Jones J.,1502.66566381263,1492.8311490467675,1476.4199259698107,1493.5659663550791,3,1,7,138
Kwon S.,1491.3491461519093,1492.5655768771671,1495.3376236858032,1492.5655768771671,1,0,2,158
Riedi L.,1498.6778078488355,1491.9634018770525,1491.1092141098584,1492.1248161255523,8,3,1,435
Bernet H.,1492.108389663259,1492.0244408210676,1492.0244408210676,1492.0244408210676,1,0,0,481
Moriya H.,1492.3536116847677,1491.9928620802382,1491.9928620802382,1491.9928620802382,3,0,0,253
Hijikata R.,1498.167513429925,1425.3419261509498,1471.3108794542304,1491.8978905998868,74,13,23,93
Gomez F.A.,1492.4232079031299,1493.5697990220876,1491.8590376123125,1491.8590376123125,1,5,0,209
Onclin G.,1491.3929568399003,1491.8022445036404,1492.95287741579,1491.8022445036404,1,0,2,186
Faurel T.,1491.8021568532552,1490.9558531148052,1491.8021568532552,1491.8021568532552,0,1,0,378
Rodriguez Taverna S.,1491.6122920792336,1490.8509086725621,1491.6122920792336,1491.6122920792336,0,1,0,201
Berrettini J.,1491.3504689663084,1491.4494374257317,1491.4494374257317,1491.4494374257317,1,0,0,842
Catarina L.,1491.3494395902833,1490.441400293369,1491.3494395902833,1491.3494395902833,0,1,0,430
Watt J.,1490.5504036007007,1490.9001968563712,1490.9001968563712,1490.9001968563712,1,0,0,643
Feldbausch K.,1490.5928424461545,1490.3703749027702,1490.5928424461545,1490.5928424461545,0,3,0,284
Vallejo D.,1489.9547861872381,1509.9094417744982,1485.4999602552166,1490.5533988910302,1,12,2,66
Gimeno Valero C.,1490.3063353004197,1489.5180433878672,1490.3063353004197,1490.3063353004197,0,1,0,369
Bertola R.,1489.851600630136,1490.218060249733,1490.218060249733,1490.218060249733,1,0,0,268
Mansouri S.,1490.1641219116016,1490.1471715223597,1490.1471715223597,1490.1471715223597,1,0,0,296
Ramos A.,1489.8298540253409,1489.1478941140972,1489.8298540253409,1489.8298540253409,0,2,0,251
Omarkhanov A.,1489.2229063648695,1489.7810972638201,1489.7810972638201,1489.7810972638201,1,0,0,1137
Baadi T.,1489.7613861749328,1487.5774685013196,1489.7613861749328,1489.7613861749328,0,3,0,587
Sell K.,1489.497684169137,1489.0602587831397,1489.497684169137,1489.497684169137,0,1,0,300
Chan D.,1488.7764823878122,1489.4691244356495,1489.4691244356495,1489.4691244356495,1,0,0,606
Kuznetsov An.,1489.4484049168234,1489.2798634804267,1489.4484049168234,1489.4484049168234,0,1,0,228
Sakellaridis S.,1488.7810269769702,1491.7832695055795,1489.1536892415083,1489.1536892415083,1,2,0,225
Luz O.,1488.9186572157096,1488.7527110863275,1488.9186572157096,1488.9186572157096,0,1,0,1072
Alvarez Varona N.,1492.3699748702807,1488.255495644996,1488.8634235942811,1488.8634235942811,2,1,0,231
Reis Da Silva J.,1488.732679732983,1488.2890557806084,1488.732679732983,1488.732679732983,0,1,0,207
Haase R.,1492.0076748611364,1488.7077344971171,1488.1192676849776,1488.7077344971171,2,0,1,257
Dedura-Palomero D.,1488.660121686677,1488.0693636095698,1488.660121686677,1488.660121686677,0,1,0,549
Wessels L.,1488.570971726022,1488.570971726022,1487.9996002602693,1488.570971726022,0,0,1,347
Huesler M.,1488.478424634933,1488.1820931842694,1488.478424634933,1488.478424634933,0,1,0,340
Hardt N.,1488.3223674413346,1488.471202986358,1488.3223674413346,1488.3223674413346,0,3,0,191
Janvier M.,1488.262278073001,1488.262278073001,1487.7081279728125,1488.262278073001,0,0,1,225
Sekulic P.,1487.111409026597,1488.1445469245498,1488.1445469245498,1488.1445469245498,3,0,0,298
Sanchez Izquierdo N.,1487.7862381485184,1487.771655604351,1487.7862381485184,1487.7862381485184,0,1,0,260
Comesana F.,1480.9547023990076,1496.1357795336821,1488.4835681995942,1487.73419753189,27,38,5,102
Cadenasso G.,1487.6552448858095,1487.6102894388098,1487.6552448858095,1487.6552448858095,0,1,0,196
Londero J.I.,1487.5854375733168,1488.8462148180256,1487.5854375733168,1487.5854375733168,0,9,0,142
Martin D.,1487.0813033652403,1487.5572061446085,1487.5572061446085,1487.5572061446085,1,0,0,560
Mo Y.,1487.6647777510107,1487.5161314632483,1487.5161314632483,1487.5161314632483,1,0,0,668
Svrcina D.,1504.8423260982129,1477.760304120076,1487.0030883604234,1487.4214325277787,18,3,1,116
Rodesch C.,1487.3572799262133,1487.3572799262133,1486.9849065681797,1487.3572799262133,0,0,1,163
Ymer M.,1492.728333760601,1472.4985662352158,1499.1231919537804,1487.2682960242582,56,9,10,617
Neff A.,1487.0248187726575,1487.2122936834728,1487.2122936834728,1487.2122936834728,1,0,0,829
Ivanov I.,1486.7126473727844,1486.952841896343,1486.952841896343,1486.952841896343,1,0,0,935
Turcanu R.D.,1486.6528026330068,1486.2933059633997,1486.6528026330068,1486.6528026330068,0,1,0,659
Jung J.,1486.5522400373075,1486.469326937258,1486.469326937258,1486.469326937258,3,0,0,276
Fabbiano T.,1486.3528455448159,1486.3528455448159,1486.3528455448159,1486.3528455448159,1,0,0,192
Roca Batalla O.,1486.3486464787522,1486.3353320552396,1486.3486464787522,1486.3486464787522,0,1,0,1055
Geerts M.,1486.1889510668325,1486.2496374020077,1486.2496374020077,1486.2496374020077,1,0,0,268
Furness E.,1485.821041414694,1485.9067928613845,1485.9067928613845,1485.9067928613845,1,0,0,208
Peniston R.,1485.5570069457349,1485.8594282265478,1486.4822206393046,1485.8594282265478,1,0,12,268
Karlovic I.,1485.8477245770252,1485.8477245770252,1485.8477245770252,1485.8477245770252,1,0,0,221
Koepfer D.,1517.203707468328,1475.8120598458684,1458.8154803276827,1485.6801340492025,50,12,7,118
Soto M.,1485.6756633962607,1485.628537124561,1485.6756633962607,1485.6756633962607,0,1,0,316
Dietrich D.,1485.6349419568273,1485.5038044767346,1485.6349419568273,1485.6349419568273,0,1,0,618
Miguel L.,1485.5979594880985,1485.559203466267,1485.5979594880985,1485.5979594880985,0,1,0,1593
King D.,1485.6047193605807,1485.5299479253054,1485.5299479253054,1485.5299479253054,1,0,0,497
Barranco Cosano J.,1485.393914439554,1485.025208557877,1485.393914439554,1485.393914439554,0,1,0,254
Fanselow S.,1485.302134004815,1485.0883848890594,1485.302134004815,1485.302134004815,0,1,0,316
Suresh D.,1484.5783736196054,1485.2442946013311,1485.2442946013311,1485.2442946013311,1,0,0,645
Blumberg W.,1485.2014766105021,1485.2014766105021,1485.1849544741954,1485.2014766105021,0,0,1,773
Boyer T.,1513.2701530374952,1475.8505109664152,1484.895552201669,1485.0971507788395,12,3,1,162
Dahlin M.,1485.0499000665495,1485.097413319241,1485.0499000665495,1485.0499000665495,0,1,0,1360
Mpetshi G.,1484.5126024418605,1473.6964035522794,1480.5005280560827,1485.026092711119,61,18,17,91
Friberg K.,1485.108481035794,1484.9258800618097,1484.9258800618097,1484.9258800618097,1,0,0,433
Papamalamis T.,1484.374311348216,1484.9242408486593,1484.9242408486593,1484.9242408486593,1,0,0,721
Becroft I.,1484.7935386591892,1484.9054424984276,1484.9054424984276,1484.9054424984276,1,0,0,980
Riffice S.,1484.832717804479,1484.832717804479,1484.832717804479,1484.832717804479,1,0,0,542
Sugita Y.,1484.8298896905508,1484.8298896905508,1484.8298896905508,1484.8298896905508,1,0,0,131
Rybakov A.,1484.8299571759312,1484.8254075847524,1484.8254075847524,1484.8254075847524,1,0,0,378
Saville L.,1484.4095613405025,1484.8185728338096,1484.8185728338096,1484.8185728338096,1,0,0,313
Kumar O.,1488.1861499812117,1484.7906523216514,1484.7906523216514,1484.7906523216514,5,0,0,434
Istomin D.,1484.7481422808125,1484.7481422808125,1484.7481422808125,1484.7481422808125,3,0,0,267
Rejchtman Vinciguerra W.,1484.7060549146777,1484.7392689750736,1484.7060549146777,1484.7060549146777,0,1,0,1476
Mochizuki S.,1431.5763871564318,1485.3886353521148,1497.9519280668305,1484.640836055587,23,1,9,117
Sesko Z.,1484.5593533665012,1484.588000240638,1484.5593533665012,1484.5593533665012,0,1,0,957
