player,hard_elo,clay_elo,grass_elo,overall_elo,hard_matches,clay_matches,grass_matches,current_rank,days_since_last_match,recent_form_residual
Grabher J.,1402.77392434996,1463.797089670274,1445.1592625132844,1423.7206954429107,,,,121.0,97.0,0.012251754796435643
Gracheva V.,1517.6815507642914,1507.8858343249653,1519.0585756656833,1538.5382731563152,,,,60.0,166.0,0.01292766890292657
Grammatikopoulou V.,1459.1159857351136,1443.2510191458775,1467.4908728255025,1434.981745651005,,,,500.0,48.0,-0.20563285563655823
Grant T.C.,1486.157537169804,1488.3845739918208,1501.4766096622436,1493.836230039183,,,,172.0,59.0,
Guo H.,1461.1768506926364,1472.0929944403533,1481.1337417864902,1462.2674835729806,,,,166.0,97.0,-0.09221330511362974
Haddad Maia B.,1449.7832519428237,1475.2561459510562,1497.5270296520557,1436.9539274799104,,,,134.0,61.0,-0.5120800958519486
Halep S.,1704.7096373120162,1628.0504393972874,1675.9357773926845,1729.7954531181638,,,,868.0,572.0,-0.10337849870286431
Han N.L.,1471.2468330476916,1487.859883703605,1487.859883703605,1475.71976740721,,,,236.0,1056.0,-0.05204300033689302
Harrison Ca.,1479.2878036316922,1478.2352525024003,1486.49193897115,1472.4705050048008,,,,243.0,1461.0,
Hartono A.,1398.5022865892179,1426.5408579629639,1435.8723457172168,1386.2226743070248,,,,260.0,305.0,-0.09610958255201268
Hatouka Y.,1475.679672627456,1482.632823829698,1475.2946027201347,1467.3593452549123,,,,240.0,1130.0,
Havlickova L.,1490.9739746914788,1497.2202688529126,1497.2202688529126,1494.4405377058251,,,,226.0,38.0,
Hennemann C.W.,1493.0417052646885,1484.5047234980786,1493.0417052646885,1486.0834105293768,,,,292.0,103.0,
Herazo M.,1492.3171802176437,1484.3171802176437,1492.3171802176437,1484.6343604352874,,,,454.0,1609.0,
Hercog P.,1456.7857111352541,1478.3931291467425,1478.3931291467425,1456.7862582934847,,,,124.0,1769.0,-0.027013286368733957
Herrero Linana A.,1491.9343132912795,1484.225721072978,1491.9343132912795,1483.8686265825588,,,,358.0,411.0,
Hesse A.,1492.104957612813,1483.334621617788,1492.104957612813,1484.209915225626,,,,821.0,1197.0,-0.18765909779143478
Hewitt D.,1480.2737510384652,1490.0921389424902,1490.0921389424902,1480.1842778849805,,,,437.0,1469.0,
Hibino N.,1385.5026131796744,1371.8056074968795,1398.229638138751,1353.3928243159712,,,,235.0,47.0,-0.09014648635310629
Higuita Barraza M.,1493.4179252438885,1487.4494910258113,1493.4179252438885,1486.8358504877767,,,,1080.0,516.0,
Hives Z.,1495.3463099878168,1495.3463099878168,1487.9439742989061,1490.6926199756333,,,,571.0,1524.0,
Hobgarski K.,1490.3109217769506,1481.9427683801896,1490.3109217769506,1480.6218435539015,,,,292.0,1567.0,
Hodzic M.,1479.8995847905103,1489.6771982667888,1489.6771982667888,1479.3543965335775,,,,334.0,48.0,
Hon P.,1457.2698081533233,1480.0360977572946,1467.6976709441578,1460.0721955145893,,,,158.0,40.0,0.252081026431504
Hontama M.,1412.1951014992835,1457.6635186014596,1450.0202126898948,1415.3270372029192,,,,203.0,38.0,-0.15702705239021958
Hosogi S.,1480.9058548650369,1490.1291703788122,1490.1291703788122,1480.2583407576244,,,,256.0,1069.0,
Hovde L.,1489.6117972421537,1495.5994639066803,1495.5994639066803,1491.1989278133603,,,,286.0,905.0,
Hozumi E.,1485.5273890351082,1494.441870440426,1494.441870440426,1488.8837408808522,,,,591.0,1469.0,-0.1992689750398856
Hruncakova V.,1468.9841771529223,1478.2984748112694,1494.8952541975339,1473.7228612047718,,,,113.0,1048.0,-0.1178093148270053
Hsieh S.W.,1462.261079262151,1469.2600210148912,1477.2600210148912,1454.5200420297824,,,,23.0,1196.0,-0.15194591554252307
Hui K.,1487.8891368386007,1494.2227715013737,1494.2227715013737,1488.4455430027476,,,,872.0,914.0,
Hunter S.,1494.6207189041972,1489.375641175679,1488.749539282904,1494.2015457383325,,,,180.0,33.0,0.016089405046769978
Iatcenko P.,1498.733998363071,1499.6707303592402,1499.6707303592402,1499.3414607184804,,,,181.0,303.0,
Ibragimova A.,1503.3478051041766,1505.1375490342634,1503.3478051041766,1506.695610208353,,,,275.0,45.0,
Ignatik A.,1483.2667260490443,1491.6333630245222,1491.6333630245222,1483.2667260490443,,,,209.0,1770.0,
Iliev S.,1492.4824195101519,1483.280010364174,1492.4824195101519,1484.964839020304,,,,931.0,1196.0,
In-Albon Y.,1444.4024093417177,1417.6152003332004,1444.6598059443936,1404.8048186834353,,,,149.0,1188.0,
Inglis M.,1455.8652873560936,1473.9556045661025,1449.4715631355566,1447.9112091322052,,,,151.0,82.0,-0.0265910003758566
Inoue H.,1475.179645927064,1487.2818806625573,1487.2818806625573,1474.5637613251147,,,,215.0,370.0,
Ishii S.,1508.686573270475,1505.2919380071482,1505.2919380071482,1510.5838760142965,,,,188.0,529.0,
