player,hard_elo,clay_elo,grass_elo,overall_elo,hard_matches,clay_matches,grass_matches
Zhou Y.,1442.141885659642,1442.141885659642,1442.141885659642,1442.141885659642,8,0,0
Johnson S.,1433.8047555647006,1441.8649245886606,1441.8649245886606,1441.8649245886606,41,6,7
Caruso S.,1441.7384013367443,1441.7384013367443,1441.7384013367443,1441.7384013367443,5,1,0
Zhukayev B.,1441.5103340653043,1441.5103340653043,1441.5103340653043,1441.5103340653043,9,0,1
Clarke J.,1440.1425494715127,1440.1425494715127,1440.1425494715127,1440.1425494715127,1,0,3
Kohlschreiber P.,1440.0587090920417,1440.0587090920417,1440.0587090920417,1440.0587090920417,7,3,0
Basilashvili N.,1393.1462345734808,1461.7154738107815,1501.935652285539,1439.9615452283429,54,22,10
Sandgren T.,1439.4274338530392,1439.4274338530392,1439.4274338530392,1439.4274338530392,9,0,2
Draxl L.,1437.8588791231987,1437.8588791231987,1437.8588791231987,1437.8588791231987,3,1,0
Dzumhur D.,1390.871324959727,1510.1644009921974,1437.6672788019832,1437.6672788019832,34,43,4
Royer V.,1450.0142875096003,1436.9642512853145,1436.9642512853145,1436.9642512853145,28,6,4
Pacheco Mendez R.,1436.8431742450148,1436.8431742450148,1436.8431742450148,1436.8431742450148,8,0,0
Jaziri M.,1436.8063656402426,1436.8063656402426,1436.8063656402426,1436.8063656402426,3,1,0
Gojo B.,1489.8405660519152,1436.7227219356607,1436.7227219356607,1436.7227219356607,18,7,2
Gomez E.,1444.0016938377232,1436.109417133928,1436.109417133928,1436.109417133928,16,3,0
Meligeni Alves F.,1435.7621011263027,1435.7621011263027,1435.7621011263027,1435.7621011263027,4,6,1
Couacaud E.,1435.004414691872,1435.004414691872,1435.004414691872,1435.004414691872,4,2,2
Skatov T.,1434.8776036230934,1434.8776036230934,1434.8776036230934,1434.8776036230934,7,6,0
Krajinovic F.,1442.8848469757854,1458.3397044285566,1434.7979128642467,1434.7979128642467,37,27,7
Gasquet R.,1433.4813267769107,1449.741075402026,1467.0139276595103,1434.249916867248,64,44,10
Pouille L.,1452.9271400286339,1429.9922815938958,1432.7697737337478,1432.7697737337478,15,10,1
Schoolkate T.,1429.7752866162498,1431.2046355835587,1431.2046355835587,1431.2046355835587,21,1,1
Blancaneaux G.,1428.5015438183498,1428.5015438183498,1428.5015438183498,1428.5015438183498,4,1,0
Kubler J.,1424.2857716516696,1507.2063603563054,1517.6944603450045,1428.3869631798525,19,12,12
Shelbayh A.,1427.7828434023418,1427.7828434023418,1427.7828434023418,1427.7828434023418,5,4,4
Ymer E.,1488.9027229715018,1429.6825891825563,1427.3223189411117,1427.3223189411117,27,17,3
Monteiro T.,1383.8920099704926,1481.0595455733906,1427.3207482444745,1427.3207482444745,29,52,5
Donskoy E.,1427.1915740155125,1427.1915740155125,1427.1915740155125,1427.1915740155125,6,0,1
Cecchinato M.,1427.0949295888063,1481.709525924285,1427.0949295888063,1427.0949295888063,9,35,2
Kukushkin M.,1448.266737504711,1425.6542836261444,1425.6542836261444,1425.6542836261444,15,2,1
Passaro F.,1425.5743410695595,1471.3766372897492,1425.5743410695595,1425.5743410695595,8,22,0
Cuevas P.,1424.6549343262159,1444.0650645230003,1424.6549343262159,1424.6549343262159,2,11,0
Mager G.,1425.9447574665003,1424.5006712044628,1424.5006712044628,1424.5006712044628,18,6,0
Mayot H.,1450.1775902079874,1423.3925739448243,1423.3925739448243,1423.3925739448243,14,4,3
Fognini F.,1405.733254019539,1483.3753416334425,1422.7064540472184,1422.7064540472184,46,51,9
Seppi A.,1436.6161752767905,1422.5617117488582,1422.5617117488582,1422.5617117488582,16,0,1
Kypson P.,1468.2662068732584,1421.7231444444615,1421.7231444444615,1421.7231444444615,12,5,2
Travaglia S.,1447.3921681925005,1420.9558953611327,1420.9558953611327,1420.9558953611327,11,6,0
Otte O.,1423.8289069196758,1490.3865085033294,1489.6974154695154,1420.8334447490458,31,17,14
Hassan B.,1419.4004335743452,1419.4004335743452,1419.4004335743452,1419.4004335743452,4,2,0
Edmund K.,1419.2497681678592,1419.2497681678592,1419.2497681678592,1419.2497681678592,9,3,0
Escobedo E.,1420.961311017435,1418.8002844129558,1418.8002844129558,1418.8002844129558,13,0,0
Schwartzman D.,1470.7649039750265,1451.1967380074682,1418.6080193492526,1418.6080193492526,62,50,8
Gerasimov E.,1392.6341893448314,1418.3780571838522,1418.3780571838522,1418.3780571838522,24,4,0
Topo M.,1417.3862544453518,1417.3862544453518,1417.3862544453518,1417.3862544453518,1,5,0
Tu L.,1414.711115571877,1414.711115571877,1414.711115571877,1414.711115571877,8,0,4
Herbert P.,1414.5674395865083,1414.5674395865083,1414.5674395865083,1414.5674395865083,4,7,2
