tour,round,date,bet_on,opponent,model_prob,market_prob,edge_pp,real_decimal_odds,won,stake_flat,pnl_flat,stake_kelly_0.25,pnl_kelly_0.25,event,bet_on_hard_elo_frozen,bet_on_overall_elo_frozen,opponent_hard_elo_frozen,opponent_overall_elo_frozen,model_prob_recomputed,model_prob_diff
WTA,2nd Round,2026-09-04,Rybakina E.,Bouzas Maneiro J.,0.9638303579877464,0.8116883116883117,15.214204629943485,1.18,True,1.0,0.1799999999999999,20.198168215614626,3.635670278810631,US Open,2017.349261869044,1973.534008840552,1511.8991246903825,1561.8991246903825,0.9631804432911749,0.0006499146965714964
ATP,1st Round,2026-08-31,Alcaraz C.,Safiullin R.,0.9254220232325366,0.7965517241379312,12.887029909460546,1.2,True,1.0,0.1999999999999999,15.835757092133733,3.1671514184267453,US Open,2049.979918760896,2099.979918760896,1510.685879723455,1512.19328134414,0.9254220232325366,0.0
WTA,1st Round,2026-08-31,Noskova L.,Volynets K.,0.8866269250054315,0.721868365180467,16.475855982496444,1.33,True,1.0,0.33,14.809404900297372,4.887103617098134,US Open,1783.655045996185,1843.8896283800132,1434.109218363982,1471.5956270699842,0.8866111857486139,1.5739256817637326e-05
WTA,4th Round,2026-09-07,Rybakina E.,Osaka N.,0.7619677973660435,0.5625,19.94677973660435,1.73,True,1.0,0.73,11.3981598494882,8.320656690126384,US Open,2017.349261869044,1973.534008840552,1815.3173976142173,1865.3173976142173,0.7566727331658899,0.005295064200153576
WTA,Quarterfinals,2026-09-09,Rybakina E.,Zheng Q.,0.8427153147814596,0.7284210526315789,11.42942621498807,1.33,True,1.0,0.33,10.521274132014208,3.4720204635646894,US Open,2017.349261869044,1973.534008840552,1743.468947888455,1696.9846056007316,0.84290842435531,0.00019310957385043626
ATP,3rd Round,2026-09-05,Bonzi B.,Khachanov K.,0.6046801844282019,0.3325526932084308,27.212749121977108,3.0,False,1.0,-1.0,10.192845504459845,-10.192845504459845,US Open,1582.4119981835756,1626.883156690462,1538.091928757698,1551.6598440814105,0.6046801844282016,3.3306690738754696e-16
ATP,2nd Round,2026-09-03,Auger-Aliassime F.,Khachanov K.,0.8247890534732066,0.7114967462039045,11.329230726930216,1.33,False,1.0,-1.0,9.817246926907572,-9.817246926907572,US Open,1808.2627156996523,1793.9225770030046,1538.091928757698,1551.6598440814105,0.8247890534732064,2.220446049250313e-16
ATP,1st Round,2026-08-31,Bublik A.,Wolf J.J.,0.8015437244723822,0.6736596736596736,12.78840508127086,1.42,True,1.0,0.4199999999999999,9.79683174975928,4.114669334898897,US Open,1675.8892235199671,1700.51471740412,1432.2507100970035,1431.5260389960777,0.8015437244723822,0.0
ATP,1st Round,2026-09-02,Altmaier D.,Svajda Z.,0.6363770198121091,0.4113110539845758,22.506596582753332,2.38,False,1.0,-1.0,9.557932391584112,-9.557932391584112,US Open,1505.6819893076038,1555.6819893076038,1436.030178393756,1486.030178393756,0.6363770198121093,1.1102230246251565e-16
ATP,1st Round,2026-08-30,Wu Y.,Walton A.,0.6371029698646282,0.4528795811518324,18.42233887127958,2.11,True,1.0,1.11,8.417862977067943,9.343827904545416,US Open,1573.2955978550522,1531.2754762913785,1459.1212354323006,1482.2075284309926,0.6371029698646282,0.0
WTA,1st Round,2026-09-02,Badosa P.,Kasatkina D.,0.6818242388515189,0.5291005291005291,15.272370975098982,1.8,True,1.0,0.8,8.10808459071266,6.486467672570129,US Open,1692.7978896256209,1675.2947486260807,1543.4466861989374,1559.0393119878431,0.6811402331989441,0.0006840056525747595
ATP,1st Round,2026-08-31,Duckworth J.,Arnaldi M.,0.594110493690309,0.4030612244897959,19.10492692005131,2.4,True,1.0,1.4,8.001208710106958,11.20169219414974,US Open,1521.6711293883473,1546.8589116433616,1484.0000471626674,1525.6239150121264,0.594110493690309,0.0
WTA,1st Round,2026-09-02,Ostapenko J.,Maria T.,0.7098763403093442,0.5803108808290156,12.95654594803286,1.67,False,1.0,-1.0,7.717942493735625,-7.717942493735625,US Open,1643.984150503241,1693.984150503241,1460.4069968437443,1547.9482014138878,0.7202258545855933,0.010349514276249083
ATP,2nd Round,2026-09-02,Shapovalov D.,Van Assche L.,0.7061901413952253,0.5813953488372093,12.479479255801596,1.62,True,1.0,0.6200000000000001,7.453022333325954,4.620873846662092,US Open,1640.4995414005,1590.4995414005,1460.0806904145988,1510.0806904145988,0.7061901413952253,0.0
ATP,2nd Round,2026-09-02,Munar J.,Rinderknech A.,0.5759106571283108,0.4030612244897959,17.28494326385149,2.38,False,1.0,-1.0,7.238993332724128,-7.238993332724128,US Open,1621.8197468971562,1587.2260878240625,1563.8691476725926,1580.0052282187655,0.5759106571283108,0.0
ATP,4th Round,2026-09-07,Tien L.,Khachanov K.,0.7220264488627535,0.6165413533834586,10.548509547929486,1.56,False,1.0,-1.0,6.877214558208928,-6.877214558208928,US Open,1714.681993365587,1726.2737834056338,1538.091928757698,1551.6598440814105,0.7220264488627534,1.1102230246251565e-16
WTA,1st Round,2026-09-01,Seidel E.,Starodubtseva Y.,0.4603183171216493,0.2885032537960954,17.181506332555387,3.5,False,1.0,-1.0,6.037099404960391,-6.037099404960391,US Open,1456.4244519140982,1436.8176319922218,1467.420040752766,1517.420040752766,0.45616668723070586,0.00415162989094342
WTA,4th Round,2026-09-07,Kalinskaya A.,Navarro E.,0.6265674876792028,0.5105820105820106,11.59854770971922,2.1,False,1.0,-1.0,5.924663559829548,-5.924663559829548,US Open,1714.7400789250685,1754.3655134200014,1621.9299017464275,1671.9299017464275,0.6221197224945993,0.004447765184603436
WTA,1st Round,2026-08-31,Parry D.,Golubic V.,0.6207833086132994,0.5172413793103448,10.354192930295468,1.91,True,1.0,0.91,5.361992767474439,4.879413418401739,US Open,1618.3495202707595,1668.3495202707595,1537.0683945194507,1587.0683945194507,0.6204775298972706,0.0003057787160288816
ATP,Semifinals,2026-09-12,Tiafoe F.,Shelton B.,0.4397523741238314,0.2958057395143488,14.39466346094826,3.4,False,1.0,-1.0,5.110331150320973,-5.110331150320973,US Open,1756.0883480650937,1804.3602752836453,1794.3510646704035,1781.1297917951006,0.4397523741238315,1.1102230246251565e-16
WTA,2nd Round,2026-09-02,Pliskova Ka.,Shnaider D.,0.392413554846362,0.2421875,15.022605484636198,4.33,False,1.0,-1.0,4.955911087715034,-4.955911087715034,US Open,1630.8677564279456,1680.8677564279456,1715.8159567622988,1765.8159567622988,0.3933377355999444,0.0009241807535824154
WTA,1st Round,2026-08-31,Ruzic A.,Li A.,0.4140876666498598,0.2760084925690021,13.807917408085771,3.6,False,1.0,-1.0,4.767983210563342,-4.767983210563342,US Open,1518.628416099234,1508.4229123273487,1569.0714304598528,1594.682570647268,0.4158880881566103,0.001800421506750527
ATP,4th Round,2026-09-06,Tiafoe F.,Medvedev D.,0.5086751265245728,0.393939393939394,11.473573258517884,2.5,True,1.0,1.5,4.732848969138628,7.099273453707942,US Open,1756.0883480650937,1804.3602752836453,1762.4847978842895,1712.4847978842895,0.5086751265245728,0.0
ATP,1st Round,2026-08-31,Dzumhur D.,Hurkacz H.,0.2850134412181013,0.1201334816462736,16.487995957182772,9.0,False,1.0,-1.0,4.684800368365143,-4.684800368365143,US Open,1449.5055871186562,1499.5055871186562,1609.2683077615002,1659.2683077615002,0.28501344121810135,5.551115123125783e-17
WTA,4th Round,2026-09-07,Potapova A.,Andreeva M.,0.326317419595215,0.1711711711711712,15.51462484240438,6.5,False,1.0,-1.0,4.679683036703495,-4.679683036703495,US Open,1672.2953411636895,1723.174902169772,1804.565607695151,1854.565607695151,0.32492245321457586,0.0013949663806391288
ATP,1st Round,2026-08-30,Munar J.,Atmane T.,0.4868088758847387,0.3790523690773067,10.775650680743198,2.6,True,1.0,1.6,4.338389480901628,6.941423169442605,US Open,1621.8197468971562,1587.2260878240625,1588.9561516944643,1582.3413102388758,0.4868088758847387,0.0
WTA,1st Round,2026-09-02,Frech M.,Jovic I.,0.3808271309010571,0.2665289256198347,11.429820528122235,3.75,False,1.0,-1.0,3.895797982824763,-3.895797982824763,US Open,1589.8743479592083,1559.5812038033846,1686.1170465790992,1736.1170465790992,0.37786833053592916,0.0029588003651279116
WTA,2nd Round,2026-09-03,Lys E.,Andreeva M.,0.2495457137255972,0.1173245614035087,13.222115232208845,9.5,False,1.0,-1.0,3.7448972334703305,-3.7448972334703305,US Open,1598.776879541415,1585.7378726659304,1804.565607695151,1854.565607695151,0.24603087683850514,0.00351483688709206
ATP,2nd Round,2026-09-04,Monfils G.,Tien L.,0.3037248307137757,0.1953255425709515,10.839928814282418,5.0,False,1.0,-1.0,3.3677994604539254,-3.3677994604539254,US Open,1586.2312313793464,1536.2312313793464,1714.681993365587,1726.2737834056338,0.3037248307137759,1.6653345369377348e-16
ATP,3rd Round,2026-09-05,Cerundolo F.,Fritz T.,0.2623252519490455,0.157968970380818,10.43562815682274,6.5,True,1.0,5.5,3.0983502358405874,17.04092629712323,US Open,1623.2033709696466,1669.7812286067522,1770.112810630279,1820.112810630279,0.2623252519490455,0.0
WTA,3rd Round,18/08/2026,Svitolina E.,Wang Xiy.,0.8880779156188087,0.7333333333333333,15.474458228547538,1.3,False,1.0,-1.0,14.507304589263317,-14.507304589263317,Cincinnati,1853.6251744961887,1903.6251744961887,1427.4602222366043,1466.3369162034412,0.8904430322646446,0.0023651166458359407
WTA,2nd Round,16/08/2026,Rybakina E.,Townsend T.,0.8835780053299056,0.7360824742268042,14.749553110310142,1.29,True,1.0,0.29,13.971744645508636,4.051805947197505,Cincinnati,2011.37298094488,1961.37298094488,1659.983667451081,1664.736545409114,0.8866926244299438,0.003114619100038185
WTA,4th Round,19/08/2026,Rybakina E.,Shnaider D.,0.8491004425952717,0.6909090909090908,15.819135168618091,1.4,True,1.0,0.3999999999999999,12.794888739323454,5.1179554957293805,Cincinnati,2011.37298094488,1961.37298094488,1707.6058715555153,1757.6058715555153,0.8495422645718332,0.00044182197656150723
WTA,2nd Round,16/08/2026,Potapova A.,Stephens S.,0.8133692572671367,0.6521739130434782,16.119534422365856,1.45,False,1.0,-1.0,11.585915366075456,-11.585915366075456,Cincinnati,1695.8736403428643,1750.8053383608824,1421.174857049119,1438.3231422387628,0.8107824170489515,0.002586840218185227
WTA,Quarterfinals,21/08/2026,Rybakina E.,Swiatek I.,0.6671785781208848,0.4160206718346253,25.115790628625945,2.31,False,1.0,-1.0,10.752003289024602,-10.752003289024602,Cincinnati,2011.37298094488,1961.37298094488,1881.3866223254945,1918.7050962033736,0.6732489626420378,0.006070384521153049
WTA,1st Round,14/08/2026,Boulter K.,Volynets K.,0.6611807331046136,0.4656084656084655,19.5572267496148,2.1,True,1.0,1.1,9.149296672468312,10.064226339715145,Cincinnati,1561.8718871238475,1584.791248092981,1445.1841214076903,1483.4015123056215,0.6607877114931356,0.00039302161147791725
ATP,2nd Round,16/08/2026,Auger-Aliassime F.,Tsitsipas S.,0.7141010454513158,0.5616797900262467,15.242125542506912,1.72,True,1.0,0.72,8.693487771998702,6.259311195839065,Cincinnati,1816.9215529266355,1795.1863723236604,1602.7931922852854,1646.5305087060317,0.7141010454513158,0.0
WTA,2nd Round,16/08/2026,Siniakova K.,Bouzas Maneiro J.,0.6445345809821286,0.4946808510638298,14.98537299182987,2.0,True,1.0,1.0,7.413816111747411,7.413816111747411,Cincinnati,1637.5966927364611,1632.3591310124432,1509.027438407686,1559.027438407686,0.6414086201698392,0.00312596081228933
ATP,1st Round,14/08/2026,Dimitrov G.,Baez S.,0.701511061016067,0.5818181818181818,11.96928791978852,1.64,False,1.0,-1.0,7.155552560743135,-7.155552560743135,Cincinnati,1700.5456863072593,1665.8346344811462,1512.403228649326,1562.403228649326,0.701511061016067,0.0
ATP,1st Round,14/08/2026,Kokkinakis T.,Borges N.,0.5176478768410493,0.3255269320843091,19.212094475674014,3.0,False,1.0,-1.0,7.12114960166042,-7.12114960166042,Cincinnati,1624.6437832587687,1644.5127551981684,1576.7181547438909,1626.7181547438909,0.5176478768410494,1.1102230246251565e-16
ATP,1st Round,14/08/2026,Duckworth J.,Wolf J.J.,0.5738142025222759,0.4082687338501292,16.554546867214665,2.38,True,1.0,1.38,6.994115324904011,9.651879148367534,Cincinnati,1446.1123885599206,1465.9098417964071,1448.9504166200766,1447.10173869161,0.5738142025222759,0.0
WTA,2nd Round,15/08/2026,Sakkari M.,Rakhimova K.,0.7278803092336178,0.6225,10.538030923361774,1.53,True,1.0,0.53,6.978828426067402,3.698779065815723,Cincinnati,1638.3209201080442,1634.6320064329427,1465.0690134805557,1515.0690134805557,0.7232920711329509,0.004588238100666886
WTA,Semifinals,22/08/2026,Pegula J.,Swiatek I.,0.500153450538725,0.3187066974595842,18.14467530791407,3.2,True,1.0,2.2,6.6581732273955865,14.647981100270291,Cincinnati,1890.8636147460636,1913.7674676188951,1881.3866223254945,1918.7050962033736,0.5013005311459631,0.0011470806072381157
ATP,2nd Round,15/08/2026,Cobolli F.,Kecmanovic M.,0.6587743968934824,0.5423280423280423,11.644635456544004,1.8,True,1.0,0.8,6.360797980597738,5.088638384478191,Cincinnati,1642.7162529403392,1692.7162529403392,1516.5134756917012,1505.7934640390451,0.6587743968934824,0.0
WTA,2nd Round,16/08/2026,Zhang S.,Li A.,0.5607002286142855,0.4108527131782946,14.984751543599083,2.5,False,1.0,-1.0,6.358661016856192,-6.358661016856192,Cincinnati,1580.1754324246722,1548.3430561593473,1541.7216526503585,1567.4757705282598,0.5612635113115185,0.0005632826972330474
WTA,1st Round,15/08/2026,Lys E.,Kenin S.,0.6718254341213555,0.5613577023498694,11.046773177148616,1.7,False,1.0,-1.0,6.296003164952261,-6.296003164952261,Cincinnati,1621.6348321370533,1606.7514728324309,1463.7101771704442,1504.5557996534817,0.6729248015641266,0.0010993674427710598
WTA,1st Round,13/08/2026,Yastremska D.,Maria T.,0.5886290935989291,0.4564643799472295,13.216471365169962,2.1,False,1.0,-1.0,6.078935251698319,-6.078935251698319,Cincinnati,1547.2773555820309,1545.0982388837488,1440.7895891598073,1539.6731790467309,0.5979735628218493,0.009344469222920204
ATP,1st Round,13/08/2026,Shapovalov D.,Mannarino A.,0.6510935040957746,0.5423280423280423,10.876546176773228,1.75,True,1.0,0.75,5.941234761300983,4.455926070975737,Cincinnati,1636.1934799301969,1586.1934799301969,1515.9044191864818,1502.8445665448858,0.6510935040957746,0.0
ATP,2nd Round,16/08/2026,Cerundolo F.,Borges N.,0.5767299307459102,0.4473684210526316,12.936150969327858,2.2,False,1.0,-1.0,5.852068295648317,-5.852068295648317,Cincinnati,1642.4462437266927,1688.0873567690196,1576.7181547438909,1626.7181547438909,0.5767299307459104,2.220446049250313e-16
WTA,1st Round,13/08/2026,Parry D.,Dolehide C.,0.5942558815121782,0.4813829787234043,11.287290278877393,2.0,True,1.0,1.0,5.441052749817821,5.441052749817821,Cincinnati,1511.630727324177,1561.630727324177,1490.1532910870694,1500.3157124936204,0.6006859974074098,0.00643011589523157
ATP,1st Round,14/08/2026,Bellucci M.,Svajda Z.,0.5098656905963945,0.38,12.986569059639452,2.54,True,1.0,1.54,5.2365197821126825,8.064240464453531,Cincinnati,1465.397776322695,1505.5268094827538,1452.151828671006,1502.151828671006,0.5098656905963945,0.0
WTA,2nd Round,16/08/2026,Tauson C.,Stearns P.,0.6076308904459207,0.5039999999999999,10.363089044592078,2.0,True,1.0,1.0,5.223331171669393,5.223331171669393,Cincinnati,1622.1063047075647,1605.3889389941946,1557.4899758104552,1607.4899758104552,0.6033550595734001,0.004275830872520592
WTA,4th Round,19/08/2026,Kostyuk M.,Andreeva M.,0.560641410284513,0.4450261780104712,11.56152322740418,2.2,True,1.0,1.2000000000000002,5.208139001024053,6.249766801228865,Cincinnati,1851.48425327892,1905.812935755462,1809.9691533733592,1859.9691533733592,0.5543296809119049,0.006311729372608044
WTA,2nd Round,15/08/2026,Ostapenko J.,Frech M.,0.6173725004644957,0.5173333333333333,10.003916713116237,1.91,False,1.0,-1.0,5.181586695329541,-5.181586695329541,Cincinnati,1668.0161682652874,1718.0161682652874,1560.030805021382,1522.6819439949732,0.6216646016927723,0.0042921012282766124
