player,tour,status,hand,backhand,wikipedia_title,raw_plays,height_cm,height_status,birth_year,birth_year_status
Halys Q.,ATP,resolved,Right-handed,two-handed,Quentin Halys,Right-handed (two handed-backhand),191.0,resolved,1996,resolved
Hanfmann Y.,ATP,resolved,Right-handed,two-handed,Yannick Hanfmann,Right-handed (two-handed backhand),193.0,resolved,1991,resolved
Hardt N.,ATP,resolved,Right-handed,two-handed,Nick Hardt,Right-handed (two handed-backhand),183.0,resolved,2000,resolved
Harris B.,ATP,resolved,Right-handed,two-handed,Billy Harris (tennis),Right-handed (two-handed backhand),193.0,resolved,1995,resolved
Harris L.,ATP,resolved,Right-handed,two-handed,Lloyd Harris (tennis),Right-handed (two handed-backhand),193.0,resolved,1997,resolved
Harrison C.,ATP,unresolved_name,,,,,,,,
Hassan B.,ATP,resolved,Right-handed,two-handed,Benjamin Hassan,Right-handed (two-handed backhand),183.0,resolved,1995,resolved
Heide G.,ATP,resolved,Right-handed,two-handed,Gustavo Heide,Right-handed (two-handed backhand),191.0,resolved,2002,resolved
Hemery C.,ATP,resolved,Right-handed,two-handed,Calvin Hemery,Right-handed (two-handed backhand),191.0,resolved,1995,resolved
Herbert P.,ATP,resolved,Right-handed,two-handed,Pierre-Hugues Herbert,Right-handed (two-handed backhand),188.0,resolved,1991,resolved
Herbert P.H.,ATP,resolved,Right-handed,two-handed,Pierre-Hugues Herbert,Right-handed (two-handed backhand),188.0,resolved,1991,resolved
Hernandez A.,ATP,no_infobox,,,Aaron Hernandez,,,missing_height_field,1989,resolved
Hewitt C.,ATP,resolved,Right-handed,two-handed,Cruz Hewitt,Right-handed (two-handed backhand),185.0,resolved,2008,resolved
Hijikata R.,ATP,resolved,Right-handed,two-handed,Rinky Hijikata,Right-handed (two-handed backhand),178.0,resolved,2001,resolved
Hoang A.,ATP,resolved,Right-handed,two-handed,Antoine Hoang,Right-handed (two-handed backhand),183.0,resolved,1995,resolved
Holmgren A.,ATP,unresolved_name,,,,,,,,
Holt B.,ATP,resolved,Right-handed,two-handed,Brandon Holt,Right-handed (two-handed backhand),185.4,resolved,1998,resolved
Hong S.,ATP,unresolved_name,,,,,,,,
Hsu Y.,ATP,unresolved_name,,,,,,,,
Huesler M.,ATP,unresolved_name,,,,,,,,
Huesler M.A.,ATP,unresolved_name,,,,,,,,
Humbert U.,ATP,resolved,Left-handed,two-handed,Ugo Humbert,Left-handed (two-handed backhand),188.0,resolved,1998,resolved
Hurkacz H.,ATP,resolved,Right-handed,two-handed,Hubert Hurkacz,Right-handed (two-handed backhand),196.0,resolved,1997,resolved
Hussey G.,ATP,unresolved_name,,,,,,,,
Ilkel C.,ATP,resolved,Right-handed,two-handed,Cem İlkel,Right-handed (two-handed backhand),185.0,resolved,1995,resolved
Isner J.,ATP,resolved,Right-handed,two-handed,John Isner,Right-handed (two-handed backhand),208.3,resolved,1985,resolved
Istomin D.,ATP,resolved,Right-handed,two-handed,Denis Istomin,Right-handed (two-handed backhand),185.0,resolved,1986,resolved
Ivanov I.,ATP,unresolved_name,,,,,,,,
Ivashka I.,ATP,resolved,Right-handed,two-handed,Ilya Ivashka,Right-handed (two handed-backhand),193.0,resolved,1994,resolved
Jacquet K.,ATP,resolved,Right-handed,two-handed,Kyrian Jacquet,Right-handed (two handed-backhand),175.0,resolved,2001,resolved
Janvier M.,ATP,resolved,Right-handed,two-handed,Maxime Janvier,Right-handed (two-handed backhand),196.0,resolved,1996,resolved
Jarry N.,ATP,resolved,Right-handed,two-handed,Nicolas Jarry,Right-handed (two-handed backhand),201.0,resolved,1995,resolved
Jasika O.,ATP,resolved,Left-handed,two-handed,Omar Jasika,Left (two-handed backhand),183.0,resolved,1997,resolved
Jaziri M.,ATP,resolved,Right-handed,two-handed,Malek Jaziri,Right-handed (two-handed backhand) *occasionally uses one-handed backhand,185.0,resolved,1984,resolved
Jianu F.C.,ATP,hand_only_no_backhand,Right-handed,,Filip Cristian Jianu,Right-handed,180.0,resolved,2001,resolved
Jodar R.,ATP,resolved,Right-handed,two-handed,Rafael Jódar,Right-handed (two-handed backhand),191.0,resolved,2006,resolved
Johnson S.,ATP,resolved,Right-handed,two-handed,Steve Johnson (tennis),Right-handed (two-handed backhand),188.0,resolved,1989,resolved
Jorda Sanchis D.,ATP,resolved,Right-handed,two-handed,David Jordà Sanchis,Right-handed (two-handed backhand),198.0,resolved,1994,resolved
Jubb P.,ATP,resolved,Right-handed,two-handed,Paul Jubb,Right-handed (two-handed backhand),180.0,resolved,1999,resolved
Jung J.,ATP,resolved,Right-handed,two-handed,Jason Jung,Right-handed (two-handed backhand),180.0,resolved,1989,resolved
Kachmazov A.,ATP,hand_only_no_backhand,Right-handed,,Alibek Kachmazov,Right-handed,185.0,resolved,2002,resolved
Kadhe A.,ATP,resolved,Right-handed,two-handed,Arjun Kadhe,Right-handed (two-handed backhand),185.0,resolved,1994,resolved
Karatsev A.,ATP,resolved,Right-handed,two-handed,Aslan Karatsev,Right-handed (two-handed backhand),185.0,resolved,1993,resolved
Karlovic I.,ATP,resolved,Right-handed,one-handed,Ivo Karlović,Right-handed (one-handed backhand),211.0,resolved,1979,resolved
Kasnikowski M.,ATP,resolved,Right-handed,two-handed,Maks Kaśnikowski,Right-handed (two-handed backhand),182.0,resolved,2003,resolved
Kecmanovic M.,ATP,resolved,Right-handed,two-handed,Miomir Kecmanović,Right-handed (two-handed backhand),183.0,resolved,1999,resolved
Kennedy J.,ATP,no_infobox,,,John F. Kennedy,,,missing_height_field,,unparsed_birth_date
Khachanov K.,ATP,resolved,Right-handed,two-handed,Karen Khachanov,Right-handed (two-handed backhand),198.0,resolved,1996,resolved
Kicker N.,ATP,resolved,Right-handed,one-handed,Nicolás Kicker,Right-handed (one-handed backhand),177.0,resolved,1992,resolved
King D.,ATP,unresolved_name,,,,,,,,
Kirchheimer S.,ATP,resolved,Right-handed,two-handed,Strong Kirchheimer,Right-handed (two-handed backhand),185.4,resolved,1995,resolved
Klahn B.,ATP,resolved,Left-handed,two-handed,Bradley Klahn,Left-handed (two-handed backhand),183.0,resolved,1990,resolved
Klein L.,ATP,hand_only_no_backhand,Right-handed,,Lukáš Klein,Right-handed,193.0,resolved,1998,resolved
Klizan M.,ATP,resolved,Left-handed,two-handed,Martin Kližan,Left-handed (two-handed backhand),191.0,resolved,1989,resolved
Koepfer D.,ATP,resolved,Left-handed,two-handed,Dominik Koepfer,Left-handed (two-handed backhand),180.0,resolved,1994,resolved
Kohlschreiber P.,ATP,resolved,Right-handed,one-handed,Philipp Kohlschreiber,Right-handed (one-handed backhand),178.0,resolved,1983,resolved
Kokkinakis T.,ATP,resolved,Right-handed,two-handed,Thanasi Kokkinakis,Right-handed (two-handed backhand),193.0,resolved,1996,resolved
Kolar Z.,ATP,resolved,Right-handed,two-handed,Zdeněk Kolář,Right-handed (two-handed backhand),185.0,resolved,1996,resolved
Kopriva V.,ATP,resolved,Right-handed,two-handed,Vít Kopřiva,Right-handed (two-handed backhand),178.0,resolved,1997,resolved
Korda S.,ATP,resolved,Right-handed,two-handed,Sebastian Korda,Right-handed (two-handed backhand),195.6,resolved,2000,resolved
Kotov P.,ATP,resolved,Right-handed,two-handed,Pavel Kotov,Right-handed (two-handed backhand),191.0,resolved,1998,resolved
Kouame M.,ATP,resolved,Right-handed,two-handed,Moïse Kouamé,Right-handed (two handed backhand),191.0,resolved,2009,resolved
Kovacevic A.,ATP,resolved,Right-handed,one-handed,Aleksandar Kovacevic (tennis),Right-handed (one-handed backhand),182.9,resolved,1998,resolved
Kovalik J.,ATP,resolved,Right-handed,two-handed,Jozef Kovalík,Right-handed (two-handed backhand),183.0,resolved,1992,resolved
Kozlov S.,ATP,resolved,Right-handed,two-handed,Stefan Kozlov,Right-handed (two-handed backhand),182.9,resolved,1998,resolved
Krajinovic F.,ATP,resolved,Right-handed,two-handed,Filip Krajinović,Right-handed (two-handed backhand),185.0,resolved,1992,resolved
Krueger M.,ATP,resolved,Right-handed,two-handed,Mitchell Krueger,Right-handed (two handed-backhand),188.0,resolved,1994,resolved
Krumich M.,ATP,resolved,Right-handed,two-handed,Martin Krumich,"Right-Handed, Two-Handed Backhand",188.0,resolved,2002,resolved
Krutykh O.,ATP,resolved,Right-handed,two-handed,Oleksii Krutykh,Right-handed (two-handed backhand),185.0,resolved,2000,resolved
Kubler J.,ATP,resolved,Right-handed,two-handed,Jason Kubler,Right-handed (two-handed backhand),178.0,resolved,1993,resolved
Kudla D.,ATP,resolved,Right-handed,two-handed,Denis Kudla,Right-handed (two-handed backhand),180.3,resolved,1992,resolved
Kuhn N.,ATP,resolved,Right-handed,two-handed,Nicola Kuhn,Right-handed (two-handed backhand),185.0,resolved,2000,resolved
Kukushkin M.,ATP,resolved,Right-handed,two-handed,Mikhail Kukushkin,Right-handed (two-handed backhand),183.0,resolved,1987,resolved
Kumar O.,ATP,resolved,Left-handed,one-handed,Omni Kumar,Left-handed (one-handed backhand),172.7,resolved,2001,resolved
Kuzmanov D.,ATP,resolved,Right-handed,two-handed,Dimitar Kuzmanov,Right-handed (two-handed backhand),183.0,resolved,1993,resolved
Kuznetsov An.,ATP,unresolved_name,,,,,,,,
Kwiatkowski T.S.,ATP,resolved,Right-handed,two-handed,Thai-Son Kwiatkowski,Right-handed (two-handed backhand),188.0,resolved,1995,resolved
Kwon S.,ATP,unresolved_name,,,,,,,,
Kwon S.W.,ATP,unresolved_name,,,,,,,,
Kym J.,ATP,resolved,Right-handed,two-handed,Jérôme Kym,Right-handed (two-handed backhand),198.0,resolved,2003,resolved
Kypson P.,ATP,resolved,Right-handed,two-handed,Patrick Kypson,Right-handed (two-handed backhand),188.0,resolved,1999,resolved
Kyrgios N.,ATP,resolved,Right-handed,two-handed,Nick Kyrgios,Right-handed (two-handed backhand),193.0,resolved,1995,resolved
Laaksonen H.,ATP,resolved,Right-handed,two-handed,Henri Laaksonen,Right-handed <br />(two-handed backhand),185.0,resolved,1992,resolved
Lajal M.,ATP,resolved,Right-handed,two-handed,Mark Lajal,Right-handed (two-handed backhand),191.0,resolved,2003,resolved
Lajovic D.,ATP,resolved,Right-handed,one-handed,Dušan Lajović,Right-handed <br/>(one-handed backhand),183.0,resolved,1990,resolved
Lalami Laaroussi Y.,ATP,unresolved_name,,,,,,,,
Lama G.,ATP,resolved,Right-handed,two-handed,Gonzalo Lama,Right-handed (two-handed backhand),,missing_height_field,1993,resolved
Landaluce M.,ATP,resolved,Right-handed,two-handed,Martín Landaluce,Right-handed (two-handed backhand),193.0,resolved,2006,resolved
Lazarov A.,ATP,resolved,Right-handed,one-handed,Alexandar Lazarov,Right-handed (one-handed backhand),191.0,resolved,1997,resolved
Lehecka J.,ATP,resolved,Right-handed,two-handed,Jiří Lehečka,Right-handed (two-handed backhand),185.0,resolved,2001,resolved
Leshem E.,ATP,resolved,Right-handed,two-handed,Edan Leshem,Right-handed (two-handed backhand),183.0,resolved,1997,resolved
Lestienne C.,ATP,resolved,Right-handed,two-handed,Constant Lestienne,"Right-handed (two-handed backhand)<ref name=""itftennis"">{{cite web|url=http://www.itftennis.com/procircuit/players/player/profile.aspx?playerid=100123176|title=ITF Tennis - Pro Circuit - Player Profile - LESTIENNE, Constant (FRA)|publisher=ITF|access-date=April 27, 2015}}</ref>",180.0,resolved,1992,resolved
Li Zh.,ATP,unresolved_name,,,,,,,,
Llamas Ruiz P.,ATP,resolved,Right-handed,two-handed,Pablo Llamas Ruiz,Right-handed (two-handed backhand),188.0,resolved,2002,resolved
Lock B.,ATP,resolved,Right-handed,two-handed,Benjamin Lock,Right-handed (two-handed backhand),198.0,resolved,1993,resolved
Loffhagen G.,ATP,resolved,Right-handed,two-handed,George Loffhagen,Right-handed (two-handed backhand),188.0,resolved,2001,resolved
Lokoli L.,ATP,resolved,Right-handed,two-handed,Laurent Lokoli,Right-handed (two-handed backhand),188.0,resolved,1994,resolved
Londero J.I.,ATP,resolved,Right-handed,two-handed,Juan Ignacio Londero,Right-handed (two-handed backhand),180.0,resolved,1993,resolved
Lopez F.,ATP,unresolved_name,,,,,,,,
Lopez San Martin A.,ATP,resolved,Right-handed,two-handed,Álvaro López San Martín,Right-handed (two handed-backhand),,unparsed_height,1997,resolved
Luz O.,ATP,resolved,Right-handed,two-handed,Orlando Luz,Right-handed (two-handed backhand),180.0,resolved,1998,resolved
Machac T.,ATP,resolved,Right-handed,two-handed,Tomáš Macháč,Right-handed (two-handed backhand),183.0,resolved,2000,resolved
Madaras D.,ATP,resolved,Left-handed,two-handed,Dragoș Nicolae Mădăraș,Left-handed (two-handed backhand),191.0,resolved,1997,resolved
Maestrelli F.,ATP,resolved,Right-handed,two-handed,Francesco Maestrelli,Right-handed (two-handed backhand),193.0,resolved,2002,resolved
Magadan A.,ATP,resolved,Right-handed,two-handed,Alan Magadán,Right-handed (two-handed backhand),183.0,resolved,2001,resolved
Mager G.,ATP,resolved,Right-handed,two-handed,Gianluca Mager,Right-handed (two-handed backhand),188.0,resolved,1994,resolved
Majchrzak K.,ATP,resolved,Right-handed,two-handed,Kamil Majchrzak,Right-handed (two-handed backhand),183.0,resolved,1996,resolved
Mannarino A.,ATP,resolved,Left-handed,two-handed,Adrian Mannarino,Left-handed (two-handed backhand),180.0,resolved,1988,resolved
Mansouri S.,ATP,resolved,Right-handed,two-handed,Skander Mansouri,Right-handed (two-handed backhand),193.0,resolved,1995,resolved
Marchenko I.,ATP,unresolved_name,,,,,,,,
Marcondes I.,ATP,resolved,Left-handed,two-handed,Igor Marcondes,Left-handed (two-handed backhand),183.0,resolved,1997,resolved
Marcora R.,ATP,resolved,Right-handed,one-handed,Roberto Marcora,Right-handed (one-handed backhand),194.0,resolved,1989,resolved
Marozsan F.,ATP,resolved,Right-handed,two-handed,Fábián Marozsán,Right-handed (two-handed backhand),193.0,resolved,1999,resolved
Marterer M.,ATP,resolved,Left-handed,two-handed,Maximilian Marterer,Left-handed (two-handed backhand),188.0,resolved,1995,resolved
Martin A.,ATP,resolved,Right-handed,two-handed,Andres Martin (tennis),Right-handed (two-handed backhand),182.9,resolved,2001,resolved
Martin D.,ATP,unresolved_name,,,,,,,,
Martineau M.,ATP,resolved,Right-handed,one-handed,Matteo Martineau,Right-handed (one-handed backhand),183.0,resolved,1999,resolved
Martinez P.,ATP,resolved,Right-handed,two-handed,Pedro Martínez (tennis),Right-handed (two-handed backhand),185.0,resolved,1997,resolved
Mayo A.,ATP,no_infobox,,,Alana Mayo,,,missing_height_field,1984,resolved
Mayot H.,ATP,resolved,Right-handed,two-handed,Harold Mayot,Right-handed (two-handed backhand),180.0,resolved,2002,resolved
McCabe J.,ATP,unresolved_name,,,,,,,,
McDonald M.,ATP,resolved,Right-handed,two-handed,Mackenzie McDonald,Right handed (two-handed backhand),177.8,resolved,1995,resolved
McDonald N.,ATP,resolved,Right-handed,two-handed,Niels McDonald,Right-handed (two-handed backhand),191.0,resolved,2008,resolved
Mccabe J.,ATP,no_infobox,,,Jessica McCabe,,,missing_height_field,1982,resolved
Mcdonald M.,ATP,resolved,Right-handed,two-handed,Mackenzie McDonald,Right handed (two-handed backhand),177.8,resolved,1995,resolved
Medjedovic H.,ATP,resolved,Right-handed,two-handed,Hamad Medjedovic,Right-handed (two-handed backhand),188.0,resolved,2003,resolved
Medvedev D.,ATP,resolved,Right-handed,two-handed,Daniil Medvedev,Right-handed (two-handed backhand),198.0,resolved,1996,resolved
Mejia N.,ATP,resolved,Right-handed,two-handed,Nicolás Mejía,Right-handed (two-handed backhand),183.0,resolved,2000,resolved
Meligeni Alves F.,ATP,resolved,Right-handed,two-handed,Felipe Meligeni Alves,Right-handed (two-handed backhand),185.0,resolved,1998,resolved
Meligeni Rodrigues F,ATP,unresolved_name,,,,,,,,
Mena F.,ATP,resolved,Right-handed,two-handed,Facundo Mena,Right-handed (two-handed backhand),183.0,resolved,1992,resolved
Mensik J.,ATP,resolved,Right-handed,two-handed,Jakub Menšík,Right-handed (two-handed backhand),196.0,resolved,2005,resolved
Merida Aguilar D.,ATP,resolved,Right-handed,two-handed,Daniel Mérida,Right-handed (two-handed backhand),188.0,resolved,2004,resolved
Michelsen A.,ATP,resolved,Right-handed,two-handed,Alex Michelsen,Right-handed (two-handed backhand),193.0,resolved,2004,resolved
Midon L.,ATP,resolved,Right-handed,two-handed,Lautaro Midón,Right-handed (two-handed backhand),180.0,resolved,2004,resolved
Miguel L.,ATP,no_infobox,,,Luis Miguel,,,missing_height_field,1970,resolved
Mikrut L.,ATP,resolved,Right-handed,two-handed,Luka Mikrut,Right-handed (two-handed backhand),188.0,resolved,2004,resolved
Millman J.,ATP,resolved,Right-handed,two-handed,John Millman,Right-handed (two-handed backhand),183.0,resolved,1989,resolved
Milojevic N.,ATP,resolved,Right-handed,two-handed,Nikola Milojević (tennis),Right-handed (two-handed backhand),188.0,resolved,1995,resolved
Misolic F.,ATP,resolved,Right-handed,two-handed,Filip Misolic,Right-handed (two-handed backhand),180.0,resolved,2001,resolved
Mmoh M.,ATP,resolved,Right-handed,two-handed,Michael Mmoh,Right-handed (two-handed backhand),188.0,resolved,1998,resolved
Mo Y.,ATP,unresolved_name,,,,,,,,
Mochizuki S.,ATP,resolved,Right-handed,two-handed,Shintaro Mochizuki,Right-handed (two-handed backhand),175.0,resolved,2003,resolved
Molcan A.,ATP,resolved,Left-handed,two-handed,Alex Molčan,Left-handed (two-handed backhand),178.0,resolved,1997,resolved
Molleker R.,ATP,resolved,Right-handed,two-handed,Rudolf Molleker,Right-handed (two-handed backhand),188.0,resolved,2000,resolved
Moller E.,ATP,no_infobox,,,Edvard Möller,,,missing_height_field,,missing_birth_date_field
Monday J.,ATP,resolved,Left-handed,two-handed,Johannus Monday,Left-handed (two-handed backhand),198.0,resolved,2002,resolved
Monfils G.,ATP,resolved,Right-handed,two-handed,Gaël Monfils,Right handed (two-handed backhand),193.0,resolved,1986,resolved
Monteiro T.,ATP,unresolved_name,,,,,,,,
Moreno De Alboran N.,ATP,resolved,Right-handed,two-handed,Nicolas Moreno de Alboran,Right-handed (two-handed backhand),185.4,resolved,1997,resolved
Moriya H.,ATP,resolved,Right-handed,two-handed,Hiroki Moriya,Right-handed (two-handed backhand),168.0,resolved,1990,resolved
Moro Canas A.,ATP,resolved,Right-handed,two-handed,Alejandro Moro Cañas,Right-handed (two-handed backhand),183.0,resolved,2000,resolved
Moroni G.M.,ATP,resolved,Right-handed,one-handed,Gian Marco Moroni,Right-handed (one-handed backhand),185.0,resolved,1998,resolved
Moundir A.,ATP,resolved,Right-handed,two-handed,Adam Moundir,Right-handed (two-handed backhand),191.0,resolved,1995,resolved
Moutet C.,ATP,resolved,Left-handed,two-handed,Corentin Moutet,Left-handed (one and two-handed backhand),180.0,resolved,1999,resolved
Mpetshi G.,ATP,resolved,Right-handed,one-handed,Giovanni Mpetshi Perricard,Right-handed (one-handed backhand),201.0,resolved,2003,resolved
Mpetshi Perricard G.,ATP,resolved,Right-handed,one-handed,Giovanni Mpetshi Perricard,Right-handed (one-handed backhand),201.0,resolved,2003,resolved
Mu T.,ATP,unresolved_name,,,,,,,,
Mukund S.,ATP,unresolved_name,,,,,,,,
Muller A.,ATP,resolved,Right-handed,two-handed,Alexandre Müller,Right-handed (two-handed backhand),183.0,resolved,1997,resolved
Munar J.,ATP,resolved,Right-handed,two-handed,Jaume Munar,Right-handed <br />(two-handed backhand),183.0,resolved,1997,resolved
Murray A.,ATP,resolved,Right-handed,two-handed,Andy Murray,Right-handed (two-handed backhand),191.0,resolved,1987,resolved
Musetti L.,ATP,resolved,Right-handed,one-handed,Lorenzo Musetti,Right-handed (one-handed backhand),185.0,resolved,2002,resolved
Nadal R.,ATP,resolved,Left-handed,two-handed,Rafael Nadal,Left-handed (two-handed backhand),185.0,resolved,1986,resolved
Nagal S.,ATP,resolved,Right-handed,two-handed,Sumit Nagal,Right-handed (two-handed backhand),178.0,resolved,1997,resolved
Nakashima B.,ATP,resolved,Right-handed,two-handed,Brandon Nakashima,Right-handed (two-handed backhand),188.0,resolved,2001,resolved
Nam J.S.,ATP,unresolved_name,,,,,,,,
Nanda G.,ATP,resolved,Right-handed,two-handed,Govind Nanda,"Right-handed (two-handed backhand)<ref name=ATP>{{cite web|title=Govind Nana|url= https://www.atptour.com/en/players/govind-nanda/n0al/overview|work=[[ATP Tour]]|access-date=August 24, 2022}}</ref>",177.8,resolved,2001,resolved
Napolitano S.,ATP,resolved,Right-handed,two-handed,Stefano Napolitano,Right-handed (two-handed backhand),196.0,resolved,1995,resolved
Nardi L.,ATP,resolved,Right-handed,two-handed,Luca Nardi,Right-handed (two-handed backhand),185.0,resolved,2003,resolved
Nava E.,ATP,resolved,Right-handed,two-handed,Emilio Nava,Right-handed (two-handed backhand),185.4,resolved,2001,resolved
Navone M.,ATP,resolved,Right-handed,two-handed,Mariano Navone,Right-handed (two-handed backhand),178.0,resolved,2001,resolved
Neff A.,ATP,hand_only_no_backhand,Right-handed,,Adam Neff,Right-handed,,missing_height_field,2001,resolved
Neumayer L.,ATP,resolved,Right-handed,two-handed,Lukas Neumayer,Right-handed (two-handed backhand),183.0,resolved,2002,resolved
Nikles J.,ATP,resolved,Right-handed,two-handed,Johan Nikles,Right-handed (two-handed backhand),173.0,resolved,1997,resolved
Nishikori K.,ATP,missing_plays_field,,,Kei Nishikori,,178.0,resolved,1989,resolved
Nishioka Y.,ATP,resolved,Right-handed,two-handed,Yoshihito Nishioka,"Left-handed (two-handed backhand), born right-handed",170.0,resolved,1995,resolved
Noguchi R.,ATP,resolved,Right-handed,two-handed,Rio Noguchi,Right-handed (two-handed backhand),168.0,resolved,1998,resolved
Norrie C.,ATP,resolved,Left-handed,two-handed,Cameron Norrie,Left-handed (two-handed backhand),188.0,resolved,1995,resolved
Novak D.,ATP,unresolved_name,,,,,,,,
O Connell C.,ATP,resolved,Right-handed,one-handed,Christopher O'Connell,Right-handed (one-handed backhand),183.0,resolved,1994,resolved
Ofner S.,ATP,resolved,Right-handed,two-handed,Sebastian Ofner,Right-handed (two-handed backhand),191.0,resolved,1996,resolved
Oliel Y.,ATP,resolved,Left-handed,two-handed,Yshai Oliel,Left-handed (two-handed backhand),188.0,resolved,2000,resolved
Olivieri G.,ATP,resolved,Right-handed,two-handed,Genaro Alberto Olivieri,Right-handed (two-handed backhand),175.0,resolved,1998,resolved
Olivo R.,ATP,resolved,Right-handed,two-handed,Renzo Olivo,Right-handed (two-handed backhand),180.0,resolved,1992,resolved
Omarkhanov A.,ATP,resolved,Right-handed,two-handed,Amir Omarkhanov,Right-handed (two-handed backhand),180.0,resolved,2007,resolved
Onclin G.,ATP,resolved,Right-handed,two-handed,Gauthier Onclin,Right-handed (two-handed backhand),180.0,resolved,2001,resolved
Opelka R.,ATP,resolved,Right-handed,two-handed,Reilly Opelka,Right-handed (two-handed backhand),210.8,resolved,1997,resolved
Otte O.,ATP,resolved,Right-handed,two-handed,Oscar Otte,Right-handed<br/>(two-handed backhand),193.0,resolved,1993,resolved
Pacheco Mendez R.,ATP,resolved,Left-handed,two-handed,Rodrigo Pacheco Méndez,Left-handed (two-handed backhand),191.0,resolved,2005,resolved
Paire B.,ATP,resolved,Right-handed,two-handed,Benoît Paire,Right-handed (two-handed backhand),196.0,resolved,1989,resolved
Pannu K.,ATP,resolved,Right-handed,two-handed,Kiranpal Pannu,Right-handed (two-handed backhand),185.0,resolved,1997,resolved
Papamalamis T.,ATP,hand_only_no_backhand,Right-handed,,Théo Papamalamis,Right-handed,183.0,resolved,2006,resolved
Passaro F.,ATP,resolved,Right-handed,two-handed,Francesco Passaro,Right-handed (two-handed backhand),180.0,resolved,2001,resolved
Paul T.,ATP,resolved,Right-handed,two-handed,Tommy Paul (tennis),Right-handed (two-handed backhand),185.4,resolved,1997,resolved
Pavlovic L.,ATP,unresolved_name,,,,,,,,
Pecotic M.,ATP,resolved,Left-handed,two-handed,Matija Pecotić,Left-handed (two-handed backhand),188.0,resolved,1989,resolved
Pella G.,ATP,resolved,Left-handed,two-handed,Guido Pella,Left-handed (two-handed backhand),183.0,resolved,1990,resolved
Pellegrino A.,ATP,resolved,Right-handed,two-handed,Andrea Pellegrino,Right-handed (two-handed backhand),185.0,resolved,1997,resolved
Peniston R.,ATP,resolved,Left-handed,two-handed,Ryan Peniston,Left-handed (two-handed backhand),183.0,resolved,1995,resolved
Pereira T.,ATP,unresolved_name,,,,,,,,
Pervolarakis M.,ATP,resolved,Right-handed,two-handed,Michail Pervolarakis,Right-handed (two-handed backhand),193.0,resolved,1996,resolved
Pinnington Jones J.,ATP,resolved,Right-handed,two-handed,Jack Pinnington Jones,"Right-handed, two handed backhand",183.0,resolved,2003,resolved
Piros Z.,ATP,resolved,Right-handed,two-handed,Zsombor Piros,Right-handed (two-handed backhand),180.0,resolved,1999,resolved
Poljicak M.,ATP,resolved,Right-handed,two-handed,Mili Poljičak,Right-handed (two-handed backhand),185.0,resolved,2004,resolved
Polmans M.,ATP,resolved,Right-handed,two-handed,Marc Polmans,Right-handed (two-handed backhand),188.0,resolved,1997,resolved
Popko D.,ATP,resolved,Right-handed,two-handed,Dmitry Popko,Right-handed (two-handed backhand),191.0,resolved,1996,resolved
Popyrin A.,ATP,resolved,Right-handed,two-handed,Alexei Popyrin,Right-handed (two-handed backhand),196.0,resolved,1999,resolved
Pospisil V.,ATP,resolved,Right-handed,two-handed,Vasek Pospisil,Right-handed (two-handed backhand),194.0,resolved,1990,resolved
Pouille L.,ATP,resolved,Right-handed,two-handed,Lucas Pouille,Right-handed (two-handed backhand),185.0,resolved,1994,resolved
Prado Angelo J.C.,ATP,resolved,Right-handed,two-handed,Juan Carlos Prado Ángelo,Right-handed (two-handed backhand),183.0,resolved,2005,resolved
Prizmic D.,ATP,resolved,Right-handed,two-handed,Dino Prižmić,Right-handed (two-handed backhand),188.0,resolved,2005,resolved
Pucinelli de Almeida M.,ATP,resolved,Right-handed,two-handed,Matheus Pucinelli de Almeida,Right-Handed (two-handed backhand),183.0,resolved,2001,resolved
Purcell M.,ATP,resolved,Right-handed,two-handed,Max Purcell,Right-handed (two-handed backhand),185.0,resolved,1998,resolved
Querrey S.,ATP,resolved,Right-handed,two-handed,Sam Querrey,Right-handed (two-handed backhand),198.1,resolved,1987,resolved
Quinn E.,ATP,resolved,Right-handed,two-handed,Ethan Quinn,Right-handed (two-handed backhand)<ref name=ATP>{{cite web|title=Ethan Quinn|url=https://www.atptour.com/en/players/ethan-quinn/q02l/overview|work=[[ATP Tour]]|access-date=24 August 2022}}</ref>,190.5,resolved,2004,resolved
Ramanathan R.,ATP,resolved,Right-handed,two-handed,Ramkumar Ramanathan,Right-handed (two-handed backhand),188.0,resolved,1994,resolved
Ramos A.,ATP,no_infobox,,,Anthony Ramos,,,missing_height_field,1991,resolved
Ramos-Vinolas A.,ATP,resolved,Left-handed,two-handed,Albert Ramos Viñolas,Left-handed (two-handed backhand),188.0,resolved,1988,resolved
Raonic M.,ATP,resolved,Right-handed,two-handed,Milos Raonic,Right-handed (two-handed backhand),196.0,resolved,1990,resolved
Rehberg M.,ATP,resolved,Right-handed,two-handed,Max Hans Rehberg,Right-handed (two-handed backhand),183.0,resolved,2003,resolved
Reis Da Silva J.,ATP,resolved,Right-handed,two-handed,João Lucas Reis da Silva,"Right-handed (two-handed backhand)<ref name="":0"" />",178.0,resolved,2000,resolved
Rejchtman Vinciguerra W.,ATP,resolved,Left-handed,two-handed,William Rejchtman Vinciguerra,Left-handed (two-handed backhand),178.0,resolved,2007,resolved
Riedi L.,ATP,resolved,Right-handed,two-handed,Leandro Riedi,Right-handed (two-handed backhand),191.0,resolved,2002,resolved
Riffice S.,ATP,resolved,Right-handed,two-handed,Sam Riffice,Right-handed (two-handed backhand),188.0,resolved,1999,resolved
Rincon D.,ATP,unresolved_name,,,,,,,,
