label,n_bets,stake,real_roi,mean,median,p5,p95,prob_loss
"BEFORE filtering (unfiltered, all +EV bets)",190,flat,-2.257894736842105,15.884031842105262,15.4,0.4100000000000004,32.81078947368421,4.535
"BEFORE filtering (unfiltered, all +EV bets)",190,kelly_0.25,-5.315402474161174,21.899813666635183,21.966825674781138,7.152039571606896,36.41791103904799,0.5599999999999999
AFTER filtering (standing result),27,flat,14.481481481481485,30.261831481481483,29.07407407407408,-7.296296296296295,71.07407407407408,9.485000000000001
AFTER filtering (standing result),27,kelly_0.25,7.1077513160187245,28.060615625348845,28.125208654395262,-3.852085325791108,59.940227010188124,7.51
