event,round,opponent,old_model_prob,recomputed_old_model_prob,new_model_prob,market_prob,old_edge_pp,new_edge_pp,clears_filter_still,won
US Open,2nd Round,Bouzas Maneiro J.,0.9638303579877464,0.9638303579877465,0.9228729347407264,0.8116883116883117,15.214204629943485,11.118462305241472,True,True
Canadian Open,3rd Round,Li A.,0.9369982135145644,0.9369982135145645,0.8827666202000863,0.8272727272727273,10.97254862418372,5.549389292735906,False,True
Canadian Open,4th Round,Samsonova L.,0.8933081963176799,0.8933081963176799,0.8295363076645389,0.7195652173913043,17.374297892637557,10.997109027323459,True,True
US Open,4th Round,Osaka N.,0.7619677973660435,0.7619677973660435,0.651546144614987,0.5625,19.94677973660435,8.904614461498706,False,True
US Open,Quarterfinals,Zheng Q.,0.8427153147814596,0.8427153147814596,0.75513786305205,0.7284210526315789,11.42942621498807,2.6716810420471138,False,True
Canadian Open,Quarterfinals,Osaka N.,0.7057063489075502,0.7057063489075502,0.5841673086162569,0.493368700265252,21.23376486422982,9.07986083510049,False,True
Canadian Open,The Final,Swiatek I.,0.6677685232406279,0.6677685232406279,0.5403789759525053,0.4566929133858268,21.1075609854801,8.36860625666785,False,False
Canadian Open,Semifinals,Gauff C.,0.6336238759864495,0.6336238759864495,0.5034164288603031,0.4355670103092783,19.80568656771712,6.784941855102483,False,True
