ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
28,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,5,Duckworth J.,Diallo G.,82,49,722,975,6,3,4,1,"	",,,,,,1,0,Retired,2.5,1.53,,,2.53,1.57,2.42,1.55,2.58,1.62
28,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,5,Tirante T.A.,Llamas Ruiz P.,60,122,887,515,6,3,7,6,6,7,6,0,,"	",3,1,Completed,1.8,2,,,1.85,2.01,1.81,1.97,1.91,2.08
28,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,5,Kecmanovic M.,Marozsan F.,48,54,980,935,7,6,6,3,6,4,"	",,,,3,0,Completed,1.62,2.3,,,1.67,2.38,1.62,2.25,1.66,2.48
28,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,5,Khachanov K.,Gea A.,15,135,2320,460,6,3,7,6,6,0,"	",,,,3,0,Completed,1.17,5,,,1.2,5.25,1.18,4.75,1.22,5.3
28,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,5,Davidovich Fokina A.,Dzumhur D.,23,87,1860,694,6,7,6,3,2,6,7,5,6,3,3,2,Completed,1.11,6.5,,,1.14,6.5,1.12,5.83,1.15,7.2
28,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,5,Trungelliti M.,Jacquet K.,81,147,731,411,6,4,6,2,6,2,,"	",,,3,0,Completed,2.2,1.67,,,2.21,1.73,2.15,1.68,2.22,1.79
28,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,5,Machac T.,Bergs Z.,43,40,1080,1150,6,4,6,4,6,3,"	",,,,3,0,Completed,1.67,2.2,,,1.73,2.21,1.69,2.14,1.75,2.3
28,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,5,Zverev A.,Bonzi B.,3,95,5705,629,6,3,6,4,6,2,,"	",,,3,0,Completed,1.03,15,,,1.04,21,1.03,13.93,1.04,20
28,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,5,Mensik J.,Droguet T.,27,107,1550,578,6,3,6,2,6,4,,"	",,,3,0,Completed,1.4,3,,,1.5,3,1.43,2.78,1.5,2.96
28,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,5,Cina F.,Opelka R.,238,76,242,758,3,6,6,4,6,2,6,7,6,4,3,2,Completed,1.5,2.63,,,1.53,2.83,1.46,2.67,1.5,2.96
28,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,5,Borges N.,Etcheverry T.,51,28,970,1510,6,3,6,4,6,2,,"	",,,3,0,Completed,2.75,1.44,,,2.9,1.44,2.78,1.42,3.25,1.44
28,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,5,Prizmic D.,Zheng M.,72,146,785,414,6,1,6,1,6,3,,"	",,,3,0,Completed,1.17,5,,,1.2,5.6,1.16,5.14,1.17,6.4
28,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,5,Fonseca J.,Pavlovic L.,30,241,1435,237,7,6,6,4,6,2,"	",,,,3,0,Completed,1.05,11,,,1.07,13,1.05,9.97,1.08,11.5
28,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,5,Basavareddy N.,Fritz T.,148,9,409,3720,7,6,7,6,6,7,6,1,,"	",3,1,Completed,4.33,1.22,,,4.6,1.25,4.2,1.21,5.1,1.24
28,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,5,Halys Q.,Bellucci M.,90,73,678,777,6,3,7,6,6,3,"	",,,,3,0,Completed,1.73,2.1,,,1.73,2.3,1.64,2.22,1.67,2.48
28,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,5,Blockx A.,Wong C.,37,109,1238,574,6,3,6,4,6,2,"	",,,,3,0,Completed,1.1,7,,,1.1,8,1.09,6.94,1.11,9.2
28,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,5,Medjedovic H.,Hanfmann Y.,58,53,894,936,6,3,6,4,6,7,6,4,"	",,3,1,Completed,1.5,2.63,,,1.56,2.63,1.5,2.55,1.53,2.86
28,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,5,Sonego L.,Herbert P.,70,220,815,259,7,6,5,7,6,2,1,6,6,4,3,2,Completed,1.53,2.5,,,1.53,2.75,1.48,2.6,1.58,2.72
28,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,5,Royer V.,Dellien H.,74,144,773,421,6,4,6,2,6,2,,"	",,,3,0,Completed,2.3,1.62,,,2.3,1.68,2.24,1.63,2.42,1.69
28,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,5,Djokovic N.,Mpetshi G.,4,83,4460,710,5,7,7,5,6,1,6,4,,"	",3,1,Completed,1.08,8,,,1.1,8,1.08,7.39,1.11,9.6
