WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
21,Rome,Internazionali BNL d'Italia,05/05/2026,WTA1000,Outdoor,Clay,1st Round,3,Krejcikova B.,Jacquemot E.,53,64,1156,1007,6,2,6,4,"	",,2,0,Completed,1.53,2.5,,,1.53,2.55,1.52,2.48,1.61,2.6
21,Rome,Internazionali BNL d'Italia,05/05/2026,WTA1000,Outdoor,Clay,1st Round,3,Zheng Q.,Bondar A.,32,58,1405,1043,3,6,6,3,6,4,2,1,Completed,1.36,3.2,,,1.42,3.2,1.37,2.98,1.39,3.5
21,Rome,Internazionali BNL d'Italia,05/05/2026,WTA1000,Outdoor,Clay,1st Round,3,Oliynykova O.,Marcinko P.,68,69,940,934,6,1,6,3,,"	",2,0,Completed,2.1,1.73,,,2.12,1.73,2.09,1.72,2.2,1.8
21,Rome,Internazionali BNL d'Italia,05/05/2026,WTA1000,Outdoor,Clay,1st Round,3,Andreescu B.,Kenin S.,137,74,564,922,6,4,7,5,,"	",2,0,Completed,1.8,2,,,1.83,2.1,1.77,2,1.9,2.06
21,Rome,Internazionali BNL d'Italia,05/05/2026,WTA1000,Outdoor,Clay,1st Round,3,Ruzic A.,Rakhimova K.,59,76,1041,919,6,4,1,6,6,3,2,1,Completed,2,1.8,,,2,1.83,1.97,1.79,2.16,1.84
21,Rome,Internazionali BNL d'Italia,05/05/2026,WTA1000,Outdoor,Clay,1st Round,3,Kessler M.,Bronzetti L.,50,173,1204,459,6,3,5,7,6,4,2,1,Completed,1.53,2.5,,,1.57,2.55,1.52,2.5,1.53,2.82
21,Rome,Internazionali BNL d'Italia,05/05/2026,WTA1000,Outdoor,Clay,1st Round,3,Zakharova A.,Yastremska D.,81,52,888,1175,4,6,7,5,7,6,2,1,Completed,3.4,1.33,,,3.5,1.36,3.21,1.34,3.65,1.37
21,Rome,Internazionali BNL d'Italia,05/05/2026,WTA1000,Outdoor,Clay,1st Round,3,Sonmez Z.,Ruggeri J.,65,265,998,260,4,6,6,2,6,2,2,1,Completed,1.11,6.5,,,1.12,7,1.11,6.28,1.13,8
21,Rome,Internazionali BNL d'Italia,05/05/2026,WTA1000,Outdoor,Clay,1st Round,3,Gibson T.,Trevisan M.,62,516,1021,100,6,4,0,6,6,3,2,1,Completed,1.44,2.75,,,1.5,2.8,1.45,2.68,1.47,3.05
21,Rome,Internazionali BNL d'Italia,05/05/2026,WTA1000,Outdoor,Clay,1st Round,3,Li A.,Zhang S.,29,73,1435,924,1,6,6,4,6,2,2,1,Completed,1.25,4,,,1.3,4,1.26,3.73,1.31,4.2
21,Rome,Internazionali BNL d'Italia,06/05/2026,WTA1000,Outdoor,Clay,1st Round,3,Maria T.,Linette M.,54,55,1086,1084,6,0,6,3,,"	",2,0,Completed,3.75,1.29,,,3.75,1.3,3.52,1.29,4.2,1.3
21,Rome,Internazionali BNL d'Italia,06/05/2026,WTA1000,Outdoor,Clay,1st Round,3,Udvardy P.,Korneeva A.,71,122,931,657,6,2,7,6,"	",,2,0,Completed,1.73,2.1,,,1.83,2.1,1.75,2.03,1.92,2.06
21,Rome,Internazionali BNL d'Italia,06/05/2026,WTA1000,Outdoor,Clay,1st Round,3,Ostapenko J.,Stefanini L.,36,154,1369,495,6,0,6,1,,"	",2,0,Completed,1.07,9,,,1.09,9,1.08,7.75,1.1,10
21,Rome,Internazionali BNL d'Italia,06/05/2026,WTA1000,Outdoor,Clay,1st Round,3,Eala A.,Frech M.,42,45,1285,1263,6,0,3,6,6,4,2,1,Completed,1.8,2,,,1.83,2.04,1.78,1.98,1.89,2.08
21,Rome,Internazionali BNL d'Italia,06/05/2026,WTA1000,Outdoor,Clay,1st Round,3,Jeanjean L.,Haddad Maia B.,127,78,608,904,7,6,6,4,"	",,2,0,Completed,1.67,2.2,,,1.67,2.38,1.64,2.22,1.69,2.42
21,Rome,Internazionali BNL d'Italia,06/05/2026,WTA1000,Outdoor,Clay,1st Round,3,Siniakova K.,Boisson L.,39,43,1342,1268,6,2,6,3,"	",,2,0,Completed,1.3,3.5,,,1.38,3.6,1.32,3.32,1.37,3.6
21,Rome,Internazionali BNL d'Italia,06/05/2026,WTA1000,Outdoor,Clay,1st Round,3,Grant T.C.,Pigato L.,234,141,305,547,1,6,6,2,6,4,2,1,Completed,1.91,1.91,,,1.96,1.95,1.9,1.87,2.06,1.92
21,Rome,Internazionali BNL d'Italia,06/05/2026,WTA1000,Outdoor,Clay,1st Round,3,Golubic V.,Urgesi F.,90,410,854,145,6,1,6,1,"	",,2,0,Completed,1.44,2.75,,,1.53,2.75,1.5,2.56,1.62,2.58
21,Rome,Internazionali BNL d'Italia,06/05/2026,WTA1000,Outdoor,Clay,1st Round,3,Siegemund L.,Bejlek S.,46,37,1250,1360,6,4,6,4,"	",,2,0,Completed,2.5,1.53,,,2.55,1.54,2.48,1.52,2.48,1.67
