WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
13,Indian Wells,BNP Paribas Open,05/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Bucsa C.,Vidmanova D.,31,122,1436,667,6,4,6,0,,,2,0,Completed,1.5,2.63,,,1.65,2.65,1.49,2.58,1.56,2.72
13,Indian Wells,BNP Paribas Open,05/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Tagger L.,Gracheva V.,119,58,673,1072,6,2,6,4,,,2,0,Completed,2.2,1.67,,,2.21,1.73,2.15,1.68,2.36,1.72
13,Indian Wells,BNP Paribas Open,06/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Hunter S.,Frech M.,234,36,301,1348,3,6,7,5,6,3,2,1,Completed,3.2,1.36,,,3.2,1.42,2.94,1.39,3.3,1.42
13,Indian Wells,BNP Paribas Open,06/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Siniakova K.,Kenin S.,44,45,1269,1267,1,6,6,4,6,1,2,1,Completed,1.44,2.75,,,1.55,2.75,1.47,2.62,1.51,2.92
13,Indian Wells,BNP Paribas Open,06/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Volynets K.,Sramkova R.,98,118,786,680,6,1,0,0,,,1,0,Retired,1.73,2.1,,,1.75,2.12,1.71,2.09,1.79,2.22
13,Indian Wells,BNP Paribas Open,06/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Ruzic A.,Brady J.,57,801,1075,40,3,6,6,4,6,2,2,1,Completed,1.44,2.75,,,1.5,2.85,1.44,2.7,1.51,2.92
13,Indian Wells,BNP Paribas Open,06/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Baptiste H.,Arango E.,43,108,1274,737,2,6,6,2,6,3,2,1,Completed,1.3,3.5,,,1.35,3.6,1.3,3.45,1.35,3.75
13,Indian Wells,BNP Paribas Open,06/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Sierra S.,Stearns P.,65,48,980,1237,7,5,7,5,,,2,0,Completed,5,1.17,,,5,1.2,4.57,1.18,5.3,1.21
13,Indian Wells,BNP Paribas Open,06/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Noskova L.,Bouzas Maneiro J.,14,50,2421,1202,6,3,6,3,,,2,0,Completed,1.4,3,,,1.44,3,1.4,2.88,1.45,3.1
13,Indian Wells,BNP Paribas Open,06/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Gibson T.,Alexandrova E.,112,11,721,2918,6,3,7,5,,,2,0,Completed,2.75,1.44,,,2.9,1.45,2.78,1.42,3.1,1.46
13,Indian Wells,BNP Paribas Open,06/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Raducanu E.,Zakharova A.,24,86,1645,831,6,1,6,3,,,2,0,Completed,1.5,2.63,,,1.62,2.75,1.49,2.59,1.56,2.76
13,Indian Wells,BNP Paribas Open,06/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Mboko V.,Birrell K.,10,69,3211,925,6,4,7,6,,,2,0,Completed,1.17,5,,,1.18,5,1.17,4.75,1.23,5.1
13,Indian Wells,BNP Paribas Open,06/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Tauson C.,Putintseva Y.,17,76,2095,871,7,6,6,2,,,2,0,Completed,1.36,3.2,,,1.37,3.3,1.35,3.15,1.41,3.35
